sent_id,item_id,verb,sentence_type,attachment,plurality,sentence,critical_token,critical_prob,logprob
11,3,assist,IC,low,pl,Jenny assisted the maid of the executives who were, were,-2.208179473876953,"[('J', -6.636455059051514), ('enny', -4.522565841674805), (' assisted', -12.789739608764648), (' the', -2.9908390045166016), (' maid', -10.934760093688965), (' of', -3.235658645629883), (' the', -2.743381977081299), (' executives', -12.315560340881348), (' who', -4.0794453620910645), (' were', -2.208179473876953)]"
12,3,joke,nonIC,low,pl,Jenny joked with the maid of the executives who were, were,-2.316939353942871,"[('J', -6.636455059051514), ('enny', -4.522565841674805), (' joked', -13.220483779907227), (' with', -2.4503939151763916), (' the', -2.617248058319092), (' maid', -6.7739715576171875), (' of', -3.1195015907287598), (' the', -3.9236559867858887), (' executives', -12.721527099609375), (' who', -3.7609174251556396), (' were', -2.316939353942871)]"
13,4,trust,IC,high,sg,Nick trusted the captain of the sailors who has, has,-7.146152973175049,"[('Nick', -9.578401565551758), (' trusted', -16.392520904541016), (' the', -2.2902610301971436), (' captain', -6.232666969299316), (' of', -1.9623724222183228), (' the', -0.36399325728416443), (' sailors', -10.812978744506836), (' who', -2.6303820610046387), (' has', -7.146152973175049)]"
14,4,stand,nonIC,high,sg,Nick stood near the captain of the sailors who has, has,-7.429117202758789,"[('Nick', -9.578401565551758), (' stood', -10.648926734924316), (' near', -5.125702381134033), (' the', -0.2287449687719345), (' captain', -9.07491397857666), (' of', -3.5516152381896973), (' the', -0.21447427570819855), (' sailors', -9.565244674682617), (' who', -2.2981629371643066), (' has', -7.429117202758789)]"
15,4,trust,IC,low,pl,Nick trusted the captain of the sailors who have, have,-5.833634853363037,"[('Nick', -9.578401565551758), (' trusted', -16.392520904541016), (' the', -2.2902610301971436), (' captain', -6.232666969299316), (' of', -1.9623724222183228), (' the', -0.36399325728416443), (' sailors', -10.812978744506836), (' who', -2.6303820610046387), (' have', -5.833634853363037)]"
16,4,stand,nonIC,low,pl,Nick stood near the captain of the sailors who have, have,-6.495745658874512,"[('Nick', -9.578401565551758), (' stood', -10.648926734924316), (' near', -5.125702381134033), (' the', -0.2287449687719345), (' captain', -9.07491397857666), (' of', -3.5516152381896973), (' the', -0.21447427570819855), (' sailors', -9.565244674682617), (' who', -2.2981629371643066), (' have', -6.495745658874512)]"
17,5,correct,IC,high,sg,Angela corrected the secretary of the lawyers who was, was,-2.087437391281128,"[('Ang', -9.142109870910645), ('ela', -1.8607159852981567), (' corrected', -16.30760383605957), (' the', -1.5447938442230225), (' secretary', -10.331802368164062), (' of', -3.875882148742676), (' the', -0.7850420475006104), (' lawyers', -9.628908157348633), (' who', -4.640884876251221), (' was', -2.087437391281128)]"
18,5,gossip,nonIC,high,sg,Angela gossiped with the secretary of the lawyers who was, was,-2.8493213653564453,"[('Ang', -9.142109870910645), ('ela', -1.8607159852981567), (' g', -9.830526351928711), ('oss', -3.154381513595581), ('iped', -12.722825050354004), (' with', -1.8182812929153442), (' the', -2.4475221633911133), (' secretary', -6.035454750061035), (' of', -1.990279197692871), (' the', -0.7233195304870605), (' lawyers', -9.144624710083008), (' who', -4.069438934326172), (' was', -2.8493213653564453)]"
19,5,correct,IC,low,pl,Angela corrected the secretary of the lawyers who were, were,-2.6202914714813232,"[('Ang', -9.142109870910645), ('ela', -1.8607159852981567), (' corrected', -16.30760383605957), (' the', -1.5447938442230225), (' secretary', -10.331802368164062), (' of', -3.875882148742676), (' the', -0.7850420475006104), (' lawyers', -9.628908157348633), (' who', -4.640884876251221), (' were', -2.6202914714813232)]"
20,5,gossip,nonIC,low,pl,Angela gossiped with the secretary of the lawyers who were, were,-2.064472198486328,"[('Ang', -9.142109870910645), ('ela', -1.8607159852981567), (' g', -9.830526351928711), ('oss', -3.154381513595581), ('iped', -12.722825050354004), (' with', -1.8182812929153442), (' the', -2.4475221633911133), (' secretary', -6.035454750061035), (' of', -1.990279197692871), (' the', -0.7233195304870605), (' lawyers', -9.144624710083008), (' who', -4.069438934326172), (' were', -2.064472198486328)]"
21,6,comfort,IC,high,sg,Bob comforted the leader of the activists who was, was,-3.5126824378967285,"[('Bob', -9.50656795501709), (' comfort', -15.621639251708984), ('ed', -0.49235203862190247), (' the', -2.7453830242156982), (' leader', -8.251310348510742), (' of', -0.9884416460990906), (' the', -0.4304468333721161), (' activists', -10.78327465057373), (' who', -2.075038433074951), (' was', -3.5126824378967285)]"
22,6,greet,nonIC,high,sg,Bob greeted the leader of the activists who was, was,-4.310482978820801,"[('Bob', -9.50656795501709), (' greeted', -13.123872756958008), (' the', -2.5040998458862305), (' leader', -8.251045227050781), (' of', -0.4088651239871979), (' the', -0.33456331491470337), (' activists', -10.591591835021973), (' who', -2.4273641109466553), (' was', -4.310482978820801)]"
23,6,comfort,IC,low,pl,Bob comforted the leader of the activists who were, were,-1.61432683467865,"[('Bob', -9.50656795501709), (' comfort', -15.621639251708984), ('ed', -0.49235203862190247), (' the', -2.7453830242156982), (' leader', -8.251310348510742), (' of', -0.9884416460990906), (' the', -0.4304468333721161), (' activists', -10.78327465057373), (' who', -2.075038433074951), (' were', -1.61432683467865)]"
24,6,greet,nonIC,low,pl,Bob greeted the leader of the activists who were, were,-1.7323447465896606,"[('Bob', -9.50656795501709), (' greeted', -13.123872756958008), (' the', -2.5040998458862305), (' leader', -8.251045227050781), (' of', -0.4088651239871979), (' the', -0.33456331491470337), (' activists', -10.591591835021973), (' who', -2.4273641109466553), (' were', -1.7323447465896606)]"
25,7,envy,IC,high,sg,Laura envies the manager of the cashiers who has, has,-2.704758405685425,"[('Laura', -10.088369369506836), (' env', -15.500741958618164), ('ies', -0.848531186580658), (' the', -1.6022448539733887), (' manager', -10.314241409301758), (' of', -1.1524592638015747), (' the', -1.0283417701721191), (' cash', -7.49657678604126), ('iers', -3.3742876052856445), (' who', -2.911571741104126), (' has', -2.704758405685425)]"
26,7,know,nonIC,high,sg,Laura knows the manager of the cashiers who has, has,-4.053688049316406,"[('Laura', -10.088369369506836), (' knows', -9.189046859741211), (' the', -2.6151223182678223), (' manager', -11.434083938598633), (' of', -1.2166774272918701), (' the', -0.6913624405860901), (' cash', -8.837890625), ('iers', -2.8984718322753906), (' who', -4.288939476013184), (' has', -4.053688049316406)]"
27,7,envy,IC,low,pl,Laura envies the manager of the cashiers who have, have,-2.6104953289031982,"[('Laura', -10.088369369506836), (' env', -15.500741958618164), ('ies', -0.848531186580658), (' the', -1.6022448539733887), (' manager', -10.314241409301758), (' of', -1.1524592638015747), (' the', -1.0283417701721191), (' cash', -7.49657678604126), ('iers', -3.3742876052856445), (' who', -2.911571741104126), (' have', -2.6104953289031982)]"
28,7,know,nonIC,low,pl,Laura knows the manager of the cashiers who have, have,-3.4251298904418945,"[('Laura', -10.088369369506836), (' knows', -9.189046859741211), (' the', -2.6151223182678223), (' manager', -11.434083938598633), (' of', -1.2166774272918701), (' the', -0.6913624405860901), (' cash', -8.837890625), ('iers', -2.8984718322753906), (' who', -4.288939476013184), (' have', -3.4251298904418945)]"
29,8,value,IC,high,sg,Zack valued the daughter of the shopkeepers who was, was,-4.991843223571777,"[('Z', -7.558170795440674), ('ack', -4.656562805175781), (' valued', -17.412017822265625), (' the', -1.794228196144104), (' daughter', -9.433223724365234), (' of', -0.7484660744667053), (' the', -1.774181604385376), (' shop', -7.486932754516602), ('keepers', -4.178084373474121), (' who', -2.3912274837493896), (' was', -4.991843223571777)]"
30,8,recognize,nonIC,high,sg,Zack recognized the daughter of the shopkeepers who was, was,-4.906079292297363,"[('Z', -7.558170795440674), ('ack', -4.656562805175781), (' recognized', -14.10356616973877), (' the', -2.5723071098327637), (' daughter', -9.423389434814453), (' of', -0.3013448417186737), (' the', -1.5414682626724243), (' shop', -7.479531288146973), ('keepers', -4.352642059326172), (' who', -2.321805477142334), (' was', -4.906079292297363)]"
31,8,value,IC,low,pl,Zack valued the daughter of the shopkeepers who were, were,-3.3625402450561523,"[('Z', -7.558170795440674), ('ack', -4.656562805175781), (' valued', -17.412017822265625), (' the', -1.794228196144104), (' daughter', -9.433223724365234), (' of', -0.7484660744667053), (' the', -1.774181604385376), (' shop', -7.486932754516602), ('keepers', -4.178084373474121), (' who', -2.3912274837493896), (' were', -3.3625402450561523)]"
32,8,recognize,nonIC,low,pl,Zack recognized the daughter of the shopkeepers who were, were,-2.964320182800293,"[('Z', -7.558170795440674), ('ack', -4.656562805175781), (' recognized', -14.10356616973877), (' the', -2.5723071098327637), (' daughter', -9.423389434814453), (' of', -0.3013448417186737), (' the', -1.5414682626724243), (' shop', -7.479531288146973), ('keepers', -4.352642059326172), (' who', -2.321805477142334), (' were', -2.964320182800293)]"
33,9,fear,IC,high,sg,Sarah fears the uncle of the toddlers who is, is,-6.010322093963623,"[('Sarah', -9.574936866760254), (' fears', -12.18649673461914), (' the', -2.6236863136291504), (' uncle', -11.588972091674805), (' of', -2.6630399227142334), (' the', -1.9340770244598389), (' toddlers', -11.085809707641602), (' who', -2.256382703781128), (' is', -6.010322093963623)]"
34,9,jog,nonIC,high,sg,Sarah jogs with the uncle of the toddlers who is, is,-7.097710609436035,"[('Sarah', -9.574936866760254), (' j', -8.557194709777832), ('ogs', -9.839353561401367), (' with', -3.4499032497406006), (' the', -2.536593437194824), (' uncle', -11.3894624710083), (' of', -1.277103304862976), (' the', -2.093566656112671), (' toddlers', -8.833402633666992), (' who', -1.4554007053375244), (' is', -7.097710609436035)]"
35,9,fear,IC,low,pl,Sarah fears the uncle of the toddlers who are, are,-3.081389904022217,"[('Sarah', -9.574936866760254), (' fears', -12.18649673461914), (' the', -2.6236863136291504), (' uncle', -11.588972091674805), (' of', -2.6630399227142334), (' the', -1.9340770244598389), (' toddlers', -11.085809707641602), (' who', -2.256382703781128), (' are', -3.081389904022217)]"
36,9,jog,nonIC,low,pl,Sarah jogs with the uncle of the toddlers who are, are,-3.632416009902954,"[('Sarah', -9.574936866760254), (' j', -8.557194709777832), ('ogs', -9.839353561401367), (' with', -3.4499032497406006), (' the', -2.536593437194824), (' uncle', -11.3894624710083), (' of', -1.277103304862976), (' the', -2.093566656112671), (' toddlers', -8.833402633666992), (' who', -1.4554007053375244), (' are', -3.632416009902954)]"
37,10,notice,IC,high,sg,Adam noticed the representative of the employees who was, was,-2.646634578704834,"[('Adam', -9.721344947814941), (' noticed', -11.356047630310059), (' the', -2.320864677429199), (' representative', -11.409806251525879), (' of', -1.7182598114013672), (' the', -0.5678809285163879), (' employees', -10.057762145996094), (' who', -3.0925302505493164), (' was', -2.646634578704834)]"
38,10,resemble,nonIC,high,sg,Adam resembled the representative of the employees who was, was,-3.2677359580993652,"[('Adam', -9.721344947814941), (' resembled', -16.303611755371094), (' the', -1.9406744241714478), (' representative', -10.55413818359375), (' of', -0.6737070679664612), (' the', -0.8233093023300171), (' employees', -10.986688613891602), (' who', -2.577594041824341), (' was', -3.2677359580993652)]"
39,10,notice,IC,low,pl,Adam noticed the representative of the employees who were, were,-1.7760519981384277,"[('Adam', -9.721344947814941), (' noticed', -11.356047630310059), (' the', -2.320864677429199), (' representative', -11.409806251525879), (' of', -1.7182598114013672), (' the', -0.5678809285163879), (' employees', -10.057762145996094), (' who', -3.0925302505493164), (' were', -1.7760519981384277)]"
40,10,resemble,nonIC,low,pl,Adam resembled the representative of the employees who were, were,-2.6858744621276855,"[('Adam', -9.721344947814941), (' resembled', -16.303611755371094), (' the', -1.9406744241714478), (' representative', -10.55413818359375), (' of', -0.6737070679664612), (' the', -0.8233093023300171), (' employees', -10.986688613891602), (' who', -2.577594041824341), (' were', -2.6858744621276855)]"
41,11,praise,IC,high,pl,Tina praised the gardeners of the millionaire who have, have,-5.235160827636719,"[('T', -5.981538772583008), ('ina', -5.512895584106445), (' praised', -13.234419822692871), (' the', -2.319321632385254), (' garden', -8.71573257446289), ('ers', -1.2226414680480957), (' of', -3.3354439735412598), (' the', -1.3041186332702637), (' millionaire', -11.995830535888672), (' who', -2.9539480209350586), (' have', -5.235160827636719)]"
42,11,meet,nonIC,high,pl,Tina met the gardeners of the millionaire who have, have,-6.10285758972168,"[('T', -5.981538772583008), ('ina', -5.512895584106445), (' met', -9.886963844299316), (' the', -3.1738533973693848), (' garden', -10.635761260986328), ('ers', -1.1155980825424194), (' of', -3.09505558013916), (' the', -1.4010735750198364), (' millionaire', -12.98981761932373), (' who', -3.0461227893829346), (' have', -6.10285758972168)]"
43,11,praise,IC,low,sg,Tina praised the gardeners of the millionaire who has, has,-2.705662488937378,"[('T', -5.981538772583008), ('ina', -5.512895584106445), (' praised', -13.234419822692871), (' the', -2.319321632385254), (' garden', -8.71573257446289), ('ers', -1.2226414680480957), (' of', -3.3354439735412598), (' the', -1.3041186332702637), (' millionaire', -11.995830535888672), (' who', -2.9539480209350586), (' has', -2.705662488937378)]"
44,11,meet,nonIC,low,sg,Tina met the gardeners of the millionaire who has, has,-3.807995080947876,"[('T', -5.981538772583008), ('ina', -5.512895584106445), (' met', -9.886963844299316), (' the', -3.1738533973693848), (' garden', -10.635761260986328), ('ers', -1.1155980825424194), (' of', -3.09505558013916), (' the', -1.4010735750198364), (' millionaire', -12.98981761932373), (' who', -3.0461227893829346), (' has', -3.807995080947876)]"
45,12,hate,IC,high,pl,Justin hates the cousins of the accountant who are, are,-4.283325672149658,"[('Justin', -10.04301929473877), (' hates', -12.08909797668457), (' the', -2.456019878387451), (' cousins', -11.908416748046875), (' of', -5.128739356994629), (' the', -1.8287429809570312), (' accountant', -11.515050888061523), (' who', -2.2243974208831787), (' are', -4.283325672149658)]"
46,12,carpool,nonIC,high,pl,Justin carpools with the cousins of the accountant who are, are,-6.027380466461182,"[('Justin', -10.04301929473877), (' carp', -14.801459312438965), ('ools', -9.655052185058594), (' with', -1.100721836090088), (' the', -3.2977848052978516), (' cousins', -7.956300735473633), (' of', -4.171059608459473), (' the', -1.9575262069702148), (' accountant', -10.50156021118164), (' who', -1.8886891603469849), (' are', -6.027380466461182)]"
47,12,hate,IC,low,sg,Justin hates the cousins of the accountant who is, is,-2.601208209991455,"[('Justin', -10.04301929473877), (' hates', -12.08909797668457), (' the', -2.456019878387451), (' cousins', -11.908416748046875), (' of', -5.128739356994629), (' the', -1.8287429809570312), (' accountant', -11.515050888061523), (' who', -2.2243974208831787), (' is', -2.601208209991455)]"
48,12,carpool,nonIC,low,sg,Justin carpools with the cousins of the accountant who is, is,-2.664419651031494,"[('Justin', -10.04301929473877), (' carp', -14.801459312438965), ('ools', -9.655052185058594), (' with', -1.100721836090088), (' the', -3.2977848052978516), (' cousins', -7.956300735473633), (' of', -4.171059608459473), (' the', -1.9575262069702148), (' accountant', -10.50156021118164), (' who', -1.8886891603469849), (' is', -2.664419651031494)]"
49,13,blame,IC,high,pl,Emily blamed the nieces of the florist who have, have,-6.163447380065918,"[('Emily', -10.217031478881836), (' blamed', -13.277749061584473), (' the', -2.016691207885742), (' nie', -13.069579124450684), ('ces', -0.3014675974845886), (' of', -4.3160834312438965), (' the', -1.4923906326293945), (' flor', -9.527487754821777), ('ist', -0.15191993117332458), (' who', -2.0056538581848145), (' have', -6.163447380065918)]"
50,13,wait,nonIC,high,pl,Emily waited with the nieces of the florist who have, have,-7.14863395690918,"[('Emily', -10.217031478881836), (' waited', -12.946626663208008), (' with', -3.70865535736084), (' the', -2.5512218475341797), (' nie', -11.547961235046387), ('ces', -0.02680971287190914), (' of', -4.718441486358643), (' the', -1.589131236076355), (' flor', -8.890666007995605), ('ist', -0.06329101324081421), (' who', -2.0622596740722656), (' have', -7.14863395690918)]"
51,13,blame,IC,low,sg,Emily blamed the nieces of the florist who has, has,-5.747361183166504,"[('Emily', -10.217031478881836), (' blamed', -13.277749061584473), (' the', -2.016691207885742), (' nie', -13.069579124450684), ('ces', -0.3014675974845886), (' of', -4.3160834312438965), (' the', -1.4923906326293945), (' flor', -9.527487754821777), ('ist', -0.15191993117332458), (' who', -2.0056538581848145), (' has', -5.747361183166504)]"
52,13,wait,nonIC,low,sg,Emily waited with the nieces of the florist who has, has,-5.444730758666992,"[('Emily', -10.217031478881836), (' waited', -12.946626663208008), (' with', -3.70865535736084), (' the', -2.5512218475341797), (' nie', -11.547961235046387), ('ces', -0.02680971287190914), (' of', -4.718441486358643), (' the', -1.589131236076355), (' flor', -8.890666007995605), ('ist', -0.06329101324081421), (' who', -2.0622596740722656), (' has', -5.444730758666992)]"
53,14,help,IC,high,pl,Joe helped the brothers of the athlete who are, are,-5.543733596801758,"[('Joe', -9.464546203613281), (' helped', -10.292366981506348), (' the', -3.7453184127807617), (' brothers', -7.578306198120117), (' of', -3.5736491680145264), (' the', -1.476718544960022), (' athlete', -12.598384857177734), (' who', -4.591818809509277), (' are', -5.543733596801758)]"
54,14,run,nonIC,high,pl,Joe ran into the brothers of the athlete who are, are,-5.829647064208984,"[('Joe', -9.464546203613281), (' ran', -9.681690216064453), (' into', -2.710874080657959), (' the', -1.379170536994934), (' brothers', -11.31301498413086), (' of', -3.0397469997406006), (' the', -1.177663803100586), (' athlete', -11.062346458435059), (' who', -2.756768226623535), (' are', -5.829647064208984)]"
55,14,help,IC,low,sg,Joe helped the brothers of the athlete who is, is,-4.078823089599609,"[('Joe', -9.464546203613281), (' helped', -10.292366981506348), (' the', -3.7453184127807617), (' brothers', -7.578306198120117), (' of', -3.5736491680145264), (' the', -1.476718544960022), (' athlete', -12.598384857177734), (' who', -4.591818809509277), (' is', -4.078823089599609)]"
56,14,run,nonIC,low,sg,Joe ran into the brothers of the athlete who is, is,-3.7693030834198,"[('Joe', -9.464546203613281), (' ran', -9.681690216064453), (' into', -2.710874080657959), (' the', -1.379170536994934), (' brothers', -11.31301498413086), (' of', -3.0397469997406006), (' the', -1.177663803100586), (' athlete', -11.062346458435059), (' who', -2.756768226623535), (' is', -3.7693030834198)]"
57,15,reproeach,IC,high,pl,Jessica reproached the doctors of the supermodel who were, were,-4.046627998352051,"[('Jessica', -10.292234420776367), (' repro', -17.15491485595703), ('ached', -2.535797119140625), (' the', -2.7493844032287598), (' doctors', -6.830870628356934), (' of', -3.4947099685668945), (' the', -1.0353482961654663), (' super', -9.034185409545898), ('model', -4.224389553070068), (' who', -3.2540178298950195), (' were', -4.046627998352051)]"
58,15,work,nonIC,high,pl,Jessica worked with the doctors of the supermodel who were, were,-3.949644088745117,"[('Jessica', -10.292234420776367), (' worked', -8.793763160705566), (' with', -1.7477539777755737), (' the', -2.266655683517456), (' doctors', -9.174200057983398), (' of', -3.312664031982422), (' the', -1.7528780698776245), (' super', -10.195035934448242), ('model', -2.868971109390259), (' who', -4.529531955718994), (' were', -3.949644088745117)]"
59,15,reproeach,IC,low,sg,Jessica reproached the doctors of the supermodel who was, was,-2.296036720275879,"[('Jessica', -10.292234420776367), (' repro', -17.15491485595703), ('ached', -2.535797119140625), (' the', -2.7493844032287598), (' doctors', -6.830870628356934), (' of', -3.4947099685668945), (' the', -1.0353482961654663), (' super', -9.034185409545898), ('model', -4.224389553070068), (' who', -3.2540178298950195), (' was', -2.296036720275879)]"
60,15,work,nonIC,low,sg,Jessica worked with the doctors of the supermodel who was, was,-2.2835731506347656,"[('Jessica', -10.292234420776367), (' worked', -8.793763160705566), (' with', -1.7477539777755737), (' the', -2.266655683517456), (' doctors', -9.174200057983398), (' of', -3.312664031982422), (' the', -1.7528780698776245), (' super', -10.195035934448242), ('model', -2.868971109390259), (' who', -4.529531955718994), (' was', -2.2835731506347656)]"
61,16,pacify,IC,high,pl,Brian pacified the associates of the businessman who were, were,-2.7793333530426025,"[('Brian', -9.715469360351562), (' pac', -15.488031387329102), ('ified', -5.372053146362305), (' the', -1.8399648666381836), (' associates', -10.76571273803711), (' of', -2.205151319503784), (' the', -0.9916354417800903), (' businessman', -9.268217086791992), (' who', -2.3883843421936035), (' were', -2.7793333530426025)]"
62,16,visit,nonIC,high,pl,Brian visited the associates of the businessman who were, were,-3.817650318145752,"[('Brian', -9.715469360351562), (' visited', -11.097066879272461), (' the', -1.5827102661132812), (' associates', -13.180807113647461), (' of', -1.5563195943832397), (' the', -1.2614120244979858), (' businessman', -13.472043991088867), (' who', -1.634526014328003), (' were', -3.817650318145752)]"
63,16,pacify,IC,low,sg,Brian pacified the associates of the businessman who was, was,-2.1999495029449463,"[('Brian', -9.715469360351562), (' pac', -15.488031387329102), ('ified', -5.372053146362305), (' the', -1.8399648666381836), (' associates', -10.76571273803711), (' of', -2.205151319503784), (' the', -0.9916354417800903), (' businessman', -9.268217086791992), (' who', -2.3883843421936035), (' was', -2.1999495029449463)]"
64,16,visit,nonIC,low,sg,Brian visited the associates of the businessman who was, was,-1.3474010229110718,"[('Brian', -9.715469360351562), (' visited', -11.097066879272461), (' the', -1.5827102661132812), (' associates', -13.180807113647461), (' of', -1.5563195943832397), (' the', -1.2614120244979858), (' businessman', -13.472043991088867), (' who', -1.634526014328003), (' was', -1.3474010229110718)]"
65,17,detest,IC,high,pl,Melissa detests the children of the musician who are, are,-4.965593338012695,"[('Mel', -9.051795959472656), ('issa', -1.637251853942871), (' det', -12.715253829956055), ('ests', -2.5155410766601562), (' the', -1.9501701593399048), (' children', -7.447262287139893), (' of', -2.6916663646698), (' the', -1.5937798023223877), (' musician', -11.612293243408203), (' who', -2.5987792015075684), (' are', -4.965593338012695)]"
66,17,babysit,nonIC,high,pl,Melissa babysits the children of the musician who are, are,-7.232487678527832,"[('Mel', -9.051795959472656), ('issa', -1.637251853942871), (' babys', -17.553096771240234), ('its', -0.5504191517829895), (' the', -2.9064130783081055), (' children', -2.619077205657959), (' of', -0.23359112441539764), (' the', -1.8670960664749146), (' musician', -9.642580032348633), (' who', -3.849134922027588), (' are', -7.232487678527832)]"
67,17,detest,IC,low,sg,Melissa detests the children of the musician who is, is,-2.504652976989746,"[('Mel', -9.051795959472656), ('issa', -1.637251853942871), (' det', -12.715253829956055), ('ests', -2.5155410766601562), (' the', -1.9501701593399048), (' children', -7.447262287139893), (' of', -2.6916663646698), (' the', -1.5937798023223877), (' musician', -11.612293243408203), (' who', -2.5987792015075684), (' is', -2.504652976989746)]"
68,17,babysit,nonIC,low,sg,Melissa babysits the children of the musician who is, is,-2.0706498622894287,"[('Mel', -9.051795959472656), ('issa', -1.637251853942871), (' babys', -17.553096771240234), ('its', -0.5504191517829895), (' the', -2.9064130783081055), (' children', -2.619077205657959), (' of', -0.23359112441539764), (' the', -1.8670960664749146), (' musician', -9.642580032348633), (' who', -3.849134922027588), (' is', -2.0706498622894287)]"
69,18,thank,IC,high,pl,Frank thanked the servants of the dictator who are, are,-4.736656665802002,"[('Frank', -9.176591873168945), (' thanked', -14.127828598022461), (' the', -1.9091140031814575), (' servants', -8.866598129272461), (' of', -3.8746376037597656), (' the', -0.6263526678085327), (' dictator', -10.748693466186523), (' who', -2.800513744354248), (' are', -4.736656665802002)]"
70,18,talk,nonIC,high,pl,Frank talked to the servants of the dictator who are, are,-4.25159215927124,"[('Frank', -9.176591873168945), (' talked', -10.136312484741211), (' to', -1.4252021312713623), (' the', -2.2844648361206055), (' servants', -9.461705207824707), (' of', -2.0918149948120117), (' the', -0.6772797703742981), (' dictator', -8.56294059753418), (' who', -3.2437386512756348), (' are', -4.25159215927124)]"
71,18,thank,IC,low,sg,Frank thanked the servants of the dictator who is, is,-5.982442378997803,"[('Frank', -9.176591873168945), (' thanked', -14.127828598022461), (' the', -1.9091140031814575), (' servants', -8.866598129272461), (' of', -3.8746376037597656), (' the', -0.6263526678085327), (' dictator', -10.748693466186523), (' who', -2.800513744354248), (' is', -5.982442378997803)]"
