sent_id,item_id,verb,sentence_type,continuation_type,main_sentence,sentence,critical_token,critical_prob,logprob
13,4,trust,IC,exp,Nick trusted the captain who has consistently weathered big storms,"Nick trusted the captain who has consistently weathered big storms, because", because,-6.095790386199951,"[(' trusted', -12.115035057067871), (' the', -2.7669851779937744), (' captain', -7.305087089538574), (' who', -3.7950968742370605), (' has', -4.946506023406982), (' consistently', -6.749850273132324), (' we', -9.726888656616211), ('athered', -0.34179985523223877), (' big', -6.425499439239502), (' storms', -3.6577343940734863), (',', -1.7532331943511963), (' because', -6.095790386199951)]"
14,4,stand,nonIC,exp,Nick stood near the captain who has consistently weathered big storms,"Nick stood near the captain who has consistently weathered big storms, because", because,-6.227940082550049,"[(' stood', -9.830355644226074), (' near', -5.376206874847412), (' the', -0.8726889491081238), (' captain', -7.710197448730469), (' who', -4.928402423858643), (' has', -6.741158485412598), (' consistently', -8.725552558898926), (' we', -10.290328025817871), ('athered', -0.41942790150642395), (' big', -6.743067264556885), (' storms', -3.282402753829956), (',', -1.9696016311645508), (' because', -6.227940082550049)]"
15,4,trust,IC,nonexp,Nick trusted the captain who has consistently weathered big storms,"Nick trusted the captain who has consistently weathered big storms, and", and,-2.1117358207702637,"[(' trusted', -12.115035057067871), (' the', -2.7669851779937744), (' captain', -7.305087089538574), (' who', -3.7950968742370605), (' has', -4.946506023406982), (' consistently', -6.749850273132324), (' we', -9.726888656616211), ('athered', -0.34179985523223877), (' big', -6.425499439239502), (' storms', -3.6577343940734863), (',', -1.7532331943511963), (' and', -2.1117358207702637)]"
16,4,stand,nonIC,nonexp,Nick stood near the captain who has consistently weathered big storms,"Nick stood near the captain who has consistently weathered big storms, and", and,-2.161289691925049,"[(' stood', -9.830355644226074), (' near', -5.376206874847412), (' the', -0.8726889491081238), (' captain', -7.710197448730469), (' who', -4.928402423858643), (' has', -6.741158485412598), (' consistently', -8.725552558898926), (' we', -10.290328025817871), ('athered', -0.41942790150642395), (' big', -6.743067264556885), (' storms', -3.282402753829956), (',', -1.9696016311645508), (' and', -2.161289691925049)]"
17,5,correct,IC,exp,Angela corrected the secretary who has occasionally made small mistakes,"Angela corrected the secretary who has occasionally made small mistakes, because", because,-5.425302505493164,"[('ela', -8.746016502380371), (' corrected', -11.830218315124512), (' the', -2.26005482673645), (' secretary', -9.366732597351074), (' who', -4.155041694641113), (' has', -5.6916093826293945), (' occasionally', -8.849868774414062), (' made', -3.6021251678466797), (' small', -6.591955184936523), (' mistakes', -3.250422954559326), (',', -2.063114643096924), (' because', -5.425302505493164)]"
18,5,gossip,nonIC,exp,Angela gossiped with the secretary who has occasionally made small mistakes,"Angela gossiped with the secretary who has occasionally made small mistakes, because", because,-5.792783737182617,"[('ela', -8.746016502380371), (' gossip', -15.540278434753418), ('ed', -0.3926905393600464), (' with', -2.2637786865234375), (' the', -2.3959004878997803), (' secretary', -6.825747489929199), (' who', -4.4648118019104), (' has', -6.47076416015625), (' occasionally', -8.664725303649902), (' made', -4.098203659057617), (' small', -5.685426712036133), (' mistakes', -6.833468437194824), (',', -1.6708987951278687), (' because', -5.792783737182617)]"
19,5,correct,IC,nonexp,Angela corrected the secretary who has occasionally made small mistakes,"Angela corrected the secretary who has occasionally made small mistakes, and", and,-2.036775588989258,"[('ela', -8.746016502380371), (' corrected', -11.830218315124512), (' the', -2.26005482673645), (' secretary', -9.366732597351074), (' who', -4.155041694641113), (' has', -5.6916093826293945), (' occasionally', -8.849868774414062), (' made', -3.6021251678466797), (' small', -6.591955184936523), (' mistakes', -3.250422954559326), (',', -2.063114643096924), (' and', -2.036775588989258)]"
20,5,gossip,nonIC,nonexp,Angela gossiped with the secretary who has occasionally made small mistakes,"Angela gossiped with the secretary who has occasionally made small mistakes, and", and,-1.6614512205123901,"[('ela', -8.746016502380371), (' gossip', -15.540278434753418), ('ed', -0.3926905393600464), (' with', -2.2637786865234375), (' the', -2.3959004878997803), (' secretary', -6.825747489929199), (' who', -4.4648118019104), (' has', -6.47076416015625), (' occasionally', -8.664725303649902), (' made', -4.098203659057617), (' small', -5.685426712036133), (' mistakes', -6.833468437194824), (',', -1.6708987951278687), (' and', -1.6614512205123901)]"
21,6,comfort,IC,exp,Bob comforted the leader who was deeply disappointed by the court's decision,"Bob comforted the leader who was deeply disappointed by the court's decision, because", because,-6.712312698364258,"[(' comfort', -12.009735107421875), ('ed', -0.23319721221923828), (' the', -1.8910013437271118), (' leader', -7.0670485496521), (' who', -4.333139419555664), (' was', -1.8066526651382446), (' deeply', -7.798325538635254), (' disappointed', -3.7533986568450928), (' by', -1.8728307485580444), (' the', -0.9845219254493713), (' court', -7.702630996704102), (""'s"", -0.40388545393943787), (' decision', -0.6547256708145142), (',', -1.9642865657806396), (' because', -6.712312698364258)]"
22,6,greet,nonIC,exp,Bob greeted the leader who was deeply disappointed by the court's decision,"Bob greeted the leader who was deeply disappointed by the court's decision, because", because,-6.64387321472168,"[(' greeted', -12.160263061523438), (' the', -2.209444046020508), (' leader', -6.166547775268555), (' who', -5.154868125915527), (' was', -1.630810022354126), (' deeply', -8.999760627746582), (' disappointed', -3.2727718353271484), (' by', -2.239595413208008), (' the', -1.1430315971374512), (' court', -7.940955638885498), (""'s"", -0.5035957098007202), (' decision', -0.6167020797729492), (',', -2.0304150581359863), (' because', -6.64387321472168)]"
23,6,comfort,IC,nonexp,Bob comforted the leader who was deeply disappointed by the court's decision,"Bob comforted the leader who was deeply disappointed by the court's decision, and", and,-2.396463394165039,"[(' comfort', -12.009735107421875), ('ed', -0.23319721221923828), (' the', -1.8910013437271118), (' leader', -7.0670485496521), (' who', -4.333139419555664), (' was', -1.8066526651382446), (' deeply', -7.798325538635254), (' disappointed', -3.7533986568450928), (' by', -1.8728307485580444), (' the', -0.9845219254493713), (' court', -7.702630996704102), (""'s"", -0.40388545393943787), (' decision', -0.6547256708145142), (',', -1.9642865657806396), (' and', -2.396463394165039)]"
24,6,greet,nonIC,nonexp,Bob greeted the leader who was deeply disappointed by the court's decision,"Bob greeted the leader who was deeply disappointed by the court's decision, and", and,-2.152852773666382,"[(' greeted', -12.160263061523438), (' the', -2.209444046020508), (' leader', -6.166547775268555), (' who', -5.154868125915527), (' was', -1.630810022354126), (' deeply', -8.999760627746582), (' disappointed', -3.2727718353271484), (' by', -2.239595413208008), (' the', -1.1430315971374512), (' court', -7.940955638885498), (""'s"", -0.5035957098007202), (' decision', -0.6167020797729492), (',', -2.0304150581359863), (' and', -2.152852773666382)]"
25,7,envy,IC,exp,Laura envies the manager who has supposedly received a huge raise,"Laura envies the manager who has supposedly received a huge raise, because", because,-4.767520904541016,"[(' env', -11.683858871459961), ('ies', -1.4130594730377197), (' the', -1.3234834671020508), (' manager', -9.622868537902832), (' who', -2.7981038093566895), (' has', -2.754265785217285), (' supposedly', -9.004085540771484), (' received', -6.568798065185547), (' a', -2.170541763305664), (' huge', -5.433087348937988), (' raise', -4.010761737823486), (',', -2.464326858520508), (' because', -4.767520904541016)]"
26,7,know,nonIC,exp,Laura knows the manager who has supposedly received a huge raise,"Laura knows the manager who has supposedly received a huge raise, because", because,-4.243359088897705,"[(' knows', -8.803068161010742), (' the', -2.6180882453918457), (' manager', -8.459395408630371), (' who', -3.5096662044525146), (' has', -3.2856674194335938), (' supposedly', -9.301674842834473), (' received', -6.2302961349487305), (' a', -2.0086116790771484), (' huge', -5.554902076721191), (' raise', -4.8450140953063965), (',', -2.3944308757781982), (' because', -4.243359088897705)]"
27,7,envy,IC,nonexp,Laura envies the manager who has supposedly received a huge raise,"Laura envies the manager who has supposedly received a huge raise, and", and,-1.7145497798919678,"[(' env', -11.683858871459961), ('ies', -1.4130594730377197), (' the', -1.3234834671020508), (' manager', -9.622868537902832), (' who', -2.7981038093566895), (' has', -2.754265785217285), (' supposedly', -9.004085540771484), (' received', -6.568798065185547), (' a', -2.170541763305664), (' huge', -5.433087348937988), (' raise', -4.010761737823486), (',', -2.464326858520508), (' and', -1.7145497798919678)]"
28,7,know,nonIC,nonexp,Laura knows the manager who has supposedly received a huge raise,"Laura knows the manager who has supposedly received a huge raise, and", and,-1.4741482734680176,"[(' knows', -8.803068161010742), (' the', -2.6180882453918457), (' manager', -8.459395408630371), (' who', -3.5096662044525146), (' has', -3.2856674194335938), (' supposedly', -9.301674842834473), (' received', -6.2302961349487305), (' a', -2.0086116790771484), (' huge', -5.554902076721191), (' raise', -4.8450140953063965), (',', -2.3944308757781982), (' and', -1.4741482734680176)]"
29,8,value,IC,exp,Zack valued the daughter who was usually willing to spot him a few dollars,"Zack valued the daughter who was usually willing to spot him a few dollars, because", because,-4.584963321685791,"[('ack', -8.260766983032227), (' valued', -13.269351959228516), (' the', -1.2951234579086304), (' daughter', -9.511260986328125), (' who', -5.100229263305664), (' was', -1.6883413791656494), (' usually', -9.684627532958984), (' willing', -7.383109092712402), (' to', -0.10086571425199509), (' spot', -10.111906051635742), (' him', -2.816972494125366), (' a', -5.52079963684082), (' few', -1.878230333328247), (' dollars', -6.472474098205566), (',', -3.3466973304748535), (' because', -4.584963321685791)]"
30,8,recognize,nonIC,exp,Zack recognized the daughter who was usually willing to spot him a few dollars,"Zack recognized the daughter who was usually willing to spot him a few dollars, because", because,-4.974168300628662,"[('ack', -8.260766983032227), (' recognized', -9.695789337158203), (' the', -1.4645403623580933), (' daughter', -10.567935943603516), (' who', -4.520814418792725), (' was', -1.4845050573349), (' usually', -8.694730758666992), (' willing', -7.974263668060303), (' to', -0.07846672832965851), (' spot', -9.860067367553711), (' him', -3.0795435905456543), (' a', -6.08185338973999), (' few', -1.6576539278030396), (' dollars', -7.290280342102051), (',', -3.495797872543335), (' because', -4.974168300628662)]"
31,8,value,IC,nonexp,Zack valued the daughter who was usually willing to spot him a few dollars,"Zack valued the daughter who was usually willing to spot him a few dollars, and", and,-2.0794625282287598,"[('ack', -8.260766983032227), (' valued', -13.269351959228516), (' the', -1.2951234579086304), (' daughter', -9.511260986328125), (' who', -5.100229263305664), (' was', -1.6883413791656494), (' usually', -9.684627532958984), (' willing', -7.383109092712402), (' to', -0.10086571425199509), (' spot', -10.111906051635742), (' him', -2.816972494125366), (' a', -5.52079963684082), (' few', -1.878230333328247), (' dollars', -6.472474098205566), (',', -3.3466973304748535), (' and', -2.0794625282287598)]"
32,8,recognize,nonIC,nonexp,Zack recognized the daughter who was usually willing to spot him a few dollars,"Zack recognized the daughter who was usually willing to spot him a few dollars, and", and,-1.6365677118301392,"[('ack', -8.260766983032227), (' recognized', -9.695789337158203), (' the', -1.4645403623580933), (' daughter', -10.567935943603516), (' who', -4.520814418792725), (' was', -1.4845050573349), (' usually', -8.694730758666992), (' willing', -7.974263668060303), (' to', -0.07846672832965851), (' spot', -9.860067367553711), (' him', -3.0795435905456543), (' a', -6.08185338973999), (' few', -1.6576539278030396), (' dollars', -7.290280342102051), (',', -3.495797872543335), (' and', -1.6365677118301392)]"
33,9,fear,IC,exp,Sarah fears the man who is often heard yelling and screaming,"Sarah fears the man who is often heard yelling and screaming, because", because,-6.664773941040039,"[(' fears', -10.918296813964844), (' the', -2.1511731147766113), (' man', -6.338370323181152), (' who', -2.149663209915161), (' is', -3.760385751724243), (' often', -6.782710075378418), (' heard', -5.486937522888184), (' yelling', -4.349353790283203), (' and', -2.737708806991577), (' screaming', -2.5592246055603027), (',', -2.7114415168762207), (' because', -6.664773941040039)]"
34,9,jog,nonIC,exp,Sarah jogs with the man who is often heard yelling and screaming,"Sarah jogs with the man who is often heard yelling and screaming, because", because,-6.749961853027344,"[(' j', -8.668800354003906), ('ogs', -6.983060359954834), (' with', -4.545534133911133), (' the', -2.4432787895202637), (' man', -5.7324652671813965), (' who', -2.0849945545196533), (' is', -2.7162492275238037), (' often', -7.517850875854492), (' heard', -5.62108850479126), (' yelling', -3.655935525894165), (' and', -3.2510695457458496), (' screaming', -2.892259120941162), (',', -2.3930156230926514), (' because', -6.749961853027344)]"
35,9,fear,IC,nonexp,Sarah fears the man who is often heard yelling and screaming,"Sarah fears the man who is often heard yelling and screaming, and", and,-3.4125006198883057,"[(' fears', -10.918296813964844), (' the', -2.1511731147766113), (' man', -6.338370323181152), (' who', -2.149663209915161), (' is', -3.760385751724243), (' often', -6.782710075378418), (' heard', -5.486937522888184), (' yelling', -4.349353790283203), (' and', -2.737708806991577), (' screaming', -2.5592246055603027), (',', -2.7114415168762207), (' and', -3.4125006198883057)]"
36,9,jog,nonIC,nonexp,Sarah jogs with the man who is often heard yelling and screaming,"Sarah jogs with the man who is often heard yelling and screaming, and", and,-2.968872308731079,"[(' j', -8.668800354003906), ('ogs', -6.983060359954834), (' with', -4.545534133911133), (' the', -2.4432787895202637), (' man', -5.7324652671813965), (' who', -2.0849945545196533), (' is', -2.7162492275238037), (' often', -7.517850875854492), (' heard', -5.62108850479126), (' yelling', -3.655935525894165), (' and', -3.2510695457458496), (' screaming', -2.892259120941162), (',', -2.3930156230926514), (' and', -2.968872308731079)]"
37,10,notice,IC,exp,Adam noticed the representative who was always wearing safety goggles,"Adam noticed the representative who was always wearing safety goggles, because", because,-4.792778015136719,"[(' noticed', -10.817087173461914), (' the', -2.2939462661743164), (' representative', -11.532516479492188), (' who', -3.8277688026428223), (' was', -1.542258381843567), (' always', -6.563047409057617), (' wearing', -5.1436614990234375), (' safety', -10.02934741973877), (' goggles', -1.3628294467926025), (',', -2.080151081085205), (' because', -4.792778015136719)]"
38,10,resemble,nonIC,exp,Adam resembled the representative who was always wearing safety goggles,"Adam resembled the representative who was always wearing safety goggles, because", because,-5.5214691162109375,"[(' resembled', -12.555532455444336), (' the', -1.8456599712371826), (' representative', -9.254033088684082), (' who', -4.412479877471924), (' was', -2.417299270629883), (' always', -6.257501125335693), (' wearing', -5.098503589630127), (' safety', -9.8408842086792), (' goggles', -1.251435399055481), (',', -1.6306813955307007), (' because', -5.5214691162109375)]"
39,10,notice,IC,nonexp,Adam noticed the representative who was always wearing safety goggles,"Adam noticed the representative who was always wearing safety goggles, and", and,-1.7220839262008667,"[(' noticed', -10.817087173461914), (' the', -2.2939462661743164), (' representative', -11.532516479492188), (' who', -3.8277688026428223), (' was', -1.542258381843567), (' always', -6.563047409057617), (' wearing', -5.1436614990234375), (' safety', -10.02934741973877), (' goggles', -1.3628294467926025), (',', -2.080151081085205), (' and', -1.7220839262008667)]"
40,10,resemble,nonIC,nonexp,Adam resembled the representative who was always wearing safety goggles,"Adam resembled the representative who was always wearing safety goggles, and", and,-2.109794855117798,"[(' resembled', -12.555532455444336), (' the', -1.8456599712371826), (' representative', -9.254033088684082), (' who', -4.412479877471924), (' was', -2.417299270629883), (' always', -6.257501125335693), (' wearing', -5.098503589630127), (' safety', -9.8408842086792), (' goggles', -1.251435399055481), (',', -1.6306813955307007), (' and', -2.109794855117798)]"
41,11,praise,IC,exp,Tina praised the gardeners who have recently installed a solar powered sprinkler,"Tina praised the gardeners who have recently installed a solar powered sprinkler, because", because,-5.6830363273620605,"[('ina', -8.422158241271973), (' praised', -11.76224136352539), (' the', -1.0824074745178223), (' garden', -10.672012329101562), ('ers', -2.7921383380889893), (' who', -2.7541897296905518), (' have', -2.835944890975952), (' recently', -5.948978424072266), (' installed', -5.04672908782959), (' a', -2.228630304336548), (' solar', -2.812115430831909), (' powered', -5.66346549987793), (' sprink', -6.113753318786621), ('ler', -0.01690126769244671), (',', -3.751516580581665), (' because', -5.6830363273620605)]"
42,11,meet,nonIC,exp,Tina met the gardeners who have recently installed a solar powered sprinkler,"Tina met the gardeners who have recently installed a solar powered sprinkler, because", because,-6.027925968170166,"[('ina', -8.422158241271973), (' met', -10.21713638305664), (' the', -2.3611326217651367), (' garden', -11.981954574584961), ('ers', -2.1923704147338867), (' who', -3.133650779724121), (' have', -4.408940315246582), (' recently', -5.320052146911621), (' installed', -5.063120365142822), (' a', -1.812604546546936), (' solar', -3.2536022663116455), (' powered', -5.530126094818115), (' sprink', -6.565742015838623), ('ler', -0.017505427822470665), (',', -3.8510475158691406), (' because', -6.027925968170166)]"
43,11,praise,IC,nonexp,Tina praised the gardeners who have recently installed a solar powered sprinkler,"Tina praised the gardeners who have recently installed a solar powered sprinkler, and", and,-2.298438549041748,"[('ina', -8.422158241271973), (' praised', -11.76224136352539), (' the', -1.0824074745178223), (' garden', -10.672012329101562), ('ers', -2.7921383380889893), (' who', -2.7541897296905518), (' have', -2.835944890975952), (' recently', -5.948978424072266), (' installed', -5.04672908782959), (' a', -2.228630304336548), (' solar', -2.812115430831909), (' powered', -5.66346549987793), (' sprink', -6.113753318786621), ('ler', -0.01690126769244671), (',', -3.751516580581665), (' and', -2.298438549041748)]"
44,11,meet,nonIC,nonexp,Tina met the gardeners who have recently installed a solar powered sprinkler,"Tina met the gardeners who have recently installed a solar powered sprinkler, and", and,-1.961626410484314,"[('ina', -8.422158241271973), (' met', -10.21713638305664), (' the', -2.3611326217651367), (' garden', -11.981954574584961), ('ers', -2.1923704147338867), (' who', -3.133650779724121), (' have', -4.408940315246582), (' recently', -5.320052146911621), (' installed', -5.063120365142822), (' a', -1.812604546546936), (' solar', -3.2536022663116455), (' powered', -5.530126094818115), (' sprink', -6.565742015838623), ('ler', -0.017505427822470665), (',', -3.8510475158691406), (' and', -1.961626410484314)]"
45,12,hate,IC,exp,Justin hates the cousins who are forever telling the same tasteless jokes,"Justin hates the cousins who are forever telling the same tasteless jokes, because", because,-4.175701141357422,"[(' hates', -11.586061477661133), (' the', -2.5572636127471924), (' cousins', -11.978479385375977), (' who', -2.6110422611236572), (' are', -2.638232946395874), (' forever', -8.642098426818848), (' telling', -6.238621711730957), (' the', -3.7554149627685547), (' same', -2.474498748779297), (' tast', -11.506546020507812), ('eless', -0.007164974696934223), (' jokes', -2.220137596130371), (',', -2.457124948501587), (' because', -4.175701141357422)]"
46,12,carpool,nonIC,exp,Justin carpools with the cousins who are forever telling the same tasteless jokes,"Justin carpools with the cousins who are forever telling the same tasteless jokes, because", because,-4.834277629852295,"[(' car', -9.400957107543945), ('pool', -4.687755107879639), ('s', -2.057577610015869), (' with', -3.5422656536102295), (' the', -3.055433988571167), (' cousins', -9.718823432922363), (' who', -3.115105628967285), (' are', -2.5388712882995605), (' forever', -9.88201904296875), (' telling', -7.145425796508789), (' the', -3.068936824798584), (' same', -3.751103162765503), (' tast', -12.87746524810791), ('eless', -0.038056790828704834), (' jokes', -2.2051339149475098), (',', -2.661550283432007), (' because', -4.834277629852295)]"
47,12,hate,IC,nonexp,Justin hates the cousins who are forever telling the same tasteless jokes,"Justin hates the cousins who are forever telling the same tasteless jokes, and", and,-1.8596076965332031,"[(' hates', -11.586061477661133), (' the', -2.5572636127471924), (' cousins', -11.978479385375977), (' who', -2.6110422611236572), (' are', -2.638232946395874), (' forever', -8.642098426818848), (' telling', -6.238621711730957), (' the', -3.7554149627685547), (' same', -2.474498748779297), (' tast', -11.506546020507812), ('eless', -0.007164974696934223), (' jokes', -2.220137596130371), (',', -2.457124948501587), (' and', -1.8596076965332031)]"
48,12,carpool,nonIC,nonexp,Justin carpools with the cousins who are forever telling the same tasteless jokes,"Justin carpools with the cousins who are forever telling the same tasteless jokes, and", and,-2.372180461883545,"[(' car', -9.400957107543945), ('pool', -4.687755107879639), ('s', -2.057577610015869), (' with', -3.5422656536102295), (' the', -3.055433988571167), (' cousins', -9.718823432922363), (' who', -3.115105628967285), (' are', -2.5388712882995605), (' forever', -9.88201904296875), (' telling', -7.145425796508789), (' the', -3.068936824798584), (' same', -3.751103162765503), (' tast', -12.87746524810791), ('eless', -0.038056790828704834), (' jokes', -2.2051339149475098), (',', -2.661550283432007), (' and', -2.372180461883545)]"
49,13,blame,IC,exp,Emily blamed the nieces who have repeatedly ruined expensive orchids,"Emily blamed the nieces who have repeatedly ruined expensive orchids, because", because,-5.117239952087402,"[(' blamed', -10.733977317810059), (' the', -1.4533894062042236), (' n', -7.761569976806641), ('ie', -5.714014053344727), ('ces', -0.007700520101934671), (' who', -5.203542709350586), (' have', -4.476447582244873), (' repeatedly', -7.0976176261901855), (' ruined', -6.662510871887207), (' expensive', -11.58726978302002), (' or', -6.726300239562988), ('ch', -6.674556732177734), ('ids', -1.392188310623169), (',', -2.496156692504883), (' because', -5.117239952087402)]"
50,13,wait,nonIC,exp,Emily waited with the nieces who have repeatedly ruined expensive orchids,"Emily waited with the nieces who have repeatedly ruined expensive orchids, because", because,-5.454050064086914,"[(' waited', -11.176787376403809), (' with', -4.059683799743652), (' the', -2.8910374641418457), (' n', -8.286385536193848), ('ie', -4.946354866027832), ('ces', -0.002544738817960024), (' who', -5.8828325271606445), (' have', -6.191947937011719), (' repeatedly', -9.016937255859375), (' ruined', -8.633641242980957), (' expensive', -11.582208633422852), (' or', -6.733328819274902), ('ch', -5.972142219543457), ('ids', -1.4560692310333252), (',', -2.3819143772125244), (' because', -5.454050064086914)]"
51,13,blame,IC,nonexp,Emily blamed the nieces who have repeatedly ruined expensive orchids,"Emily blamed the nieces who have repeatedly ruined expensive orchids, and", and,-2.075972318649292,"[(' blamed', -10.733977317810059), (' the', -1.4533894062042236), (' n', -7.761569976806641), ('ie', -5.714014053344727), ('ces', -0.007700520101934671), (' who', -5.203542709350586), (' have', -4.476447582244873), (' repeatedly', -7.0976176261901855), (' ruined', -6.662510871887207), (' expensive', -11.58726978302002), (' or', -6.726300239562988), ('ch', -6.674556732177734), ('ids', -1.392188310623169), (',', -2.496156692504883), (' and', -2.075972318649292)]"
