sent_id,item_id,verb,sentence_type,attachment,plurality,sentence
188,47,recognize,nonIC,low,sg,Rebecca recognizes the contractors of the homeowner who has
189,48,value,IC,high,pl,Sebastian values the caretakers of the patient who are
190,48,jog,nonIC,high,pl,Sebastian jogs with the caretakers of the patient who are
191,48,value,IC,low,sg,Sebastian values the caretakers of the patient who is
192,48,jog,nonIC,low,sg,Sebastian jogs with the caretakers of the patient who is
193,49,fear,IC,high,pl,Emma fears the colleagues of the architect who have
194,49,know,nonIC,high,pl,Emma knows the colleagues of the architect who have
195,49,fear,IC,low,sg,Emma fears the colleagues of the architect who has
196,49,know,nonIC,low,sg,Emma knows the colleagues of the architect who has
197,50,notice,IC,high,pl,Ryan noticed the consultants of the entrepreneur who were
198,50,meet,nonIC,high,pl,Ryan met the consultants of the entrepreneur who were
199,50,notice,IC,low,sg,Ryan noticed the consultants of the entrepreneur who was
200,50,meet,nonIC,low,sg,Ryan met the consultants of the entrepreneur who was
201,51,praise,IC,high,sg,Amy praised the guardian of the children who was
202,51,talk,nonIC,high,sg,Amy talked to the guardian of the children who was
203,51,praise,IC,low,pl,Amy praised the guardian of the children who were
204,51,talk,nonIC,low,pl,Amy talked to the guardian of the children who were
205,52,hate,IC,high,sg,Jonathon hates the supervisor of the artisans who is
206,52,live,nonIC,high,sg,Jonathon lives next to the supervisor of the artisans who is
207,52,hate,IC,low,pl,Jonathon hates the supervisor of the artisans who are
208,52,live,nonIC,low,pl,Jonathon lives next to the supervisor of the artisans who are
209,53,blame,IC,high,sg,Natalie blamed the principal of the teachers who was
210,53,resemble,nonIC,high,sg,Natalie resembled the principal of the teachers who was
211,53,blame,IC,low,pl,Natalie blamed the principal of the teachers who were
212,53,resemble,nonIC,low,pl,Natalie resembled the principal of the teachers who were
213,54,help,IC,high,sg,Alex helped the counselor of the highschoolers who was
214,54,greet,nonIC,high,sg,Alex greeted the counselor of the highschoolers who was
215,54,help,IC,low,pl,Alex helped the counselor of the highschoolers who were
216,54,greet,nonIC,low,pl,Alex greeted the counselor of the highschoolers who were
217,55,reproach,IC,high,sg,Tiffany reproached the intern of the executives who was
218,55,study,nonIC,high,sg,Tiffany studied with the intern of the executives who was
219,55,reproach,IC,low,pl,Tiffany reproached the intern of the executives who were
220,55,study,nonIC,low,pl,Tiffany studied with the intern of the executives who were
221,56,pacify,IC,high,sg,Samuel pacified the neighbor of the musicians who was
222,56,chat,nonIC,high,sg,Samuel chatted with the neighbor of the musicians who was
223,56,pacify,IC,low,pl,Samuel pacified the neighbor of the musicians who were
224,56,chat,nonIC,low,pl,Samuel chatted with the neighbor of the musicians who were
225,57,detest,IC,high,sg,Julie detests the boss of the administrators who has
226,57,visit,nonIC,high,sg,Julie visits the boss of the administrators who has
227,57,detest,IC,low,pl,Julie detests the boss of the administrators who have
228,57,visit,nonIC,low,pl,Julie visits the boss of the administrators who have
229,58,thank,IC,high,sg,Ethan thanked the host of the guests who was
230,58,ran,nonIC,high,sg,Ethan ran into the host of the guests who was
231,58,thank,IC,low,pl,Ethan thanked the host of the guests who were
232,58,ran,nonIC,low,pl,Ethan ran into the host of the guests who were
233,59,congratulate,IC,high,sg,Grace congratulates the director of the staff members who has
234,59,work,nonIC,high,sg,Grace works with the director of the staff members who has
235,59,congratulate,IC,low,pl,Grace congratulates the director of the staff members who have
236,59,work,nonIC,low,pl,Grace works with the director of the staff members who have
237,60,mock,IC,high,sg,Joseph mocked the trainer of the boxers who was
238,60,carpool,nonIC,high,sg,Joseph carpooled with the trainer of the boxers who was
239,60,mock,IC,low,pl,Joseph mocked the trainer of the boxers who were
240,60,carpool,nonIC,low,pl,Joseph carpooled with the trainer of the boxers who were
