item_id,condition,sentence,prompt
21,exp_free,The secretary adores the lawyer who gives her a big raise each year.,Sentence: The secretary adores the lawyer who gives her a big raise each year. Answer:
21,nonexp_free,The secretary adores the lawyer who works in the office across from her desk.,Sentence: The secretary adores the lawyer who works in the office across from her desk. Answer:
21,exp_pronoun,The secretary adores the lawyer who gives her a big raise each year.,Sentence: The secretary adores the lawyer who gives her a big raise each year. Answer: She ___
21,nonexp_pronoun,The secretary adores the lawyer who works in the office across from her desk.,Sentence: The secretary adores the lawyer who works in the office across from her desk. Answer: She ___
22,exp_free,The teacher blamed the second grader who has a reputation for stealing things.,Sentence: The teacher blamed the second grader who has a reputation for stealing things. Answer:
22,nonexp_free,The teacher blamed the second grader who sits in the front of the class.,Sentence: The teacher blamed the second grader who sits in the front of the class. Answer:
22,exp_pronoun,The teacher blamed the second grader who has a reputation for stealing things.,Sentence: The teacher blamed the second grader who has a reputation for stealing things. Answer: He ___
22,nonexp_pronoun,The teacher blamed the second grader who sits in the front of the class.,Sentence: The teacher blamed the second grader who sits in the front of the class. Answer: He ___
23,exp_free,The trainer consoled the boxer who had lost the fight.,Sentence: The trainer consoled the boxer who had lost the fight. Answer:
23,nonexp_free,The trainer consoled the boxer who had trained with him for 16 months.,Sentence: The trainer consoled the boxer who had trained with him for 16 months. Answer:
23,exp_pronoun,The trainer consoled the boxer who had lost the fight.,Sentence: The trainer consoled the boxer who had lost the fight. Answer: He ___
23,nonexp_pronoun,The trainer consoled the boxer who had trained with him for 16 months.,Sentence: The trainer consoled the boxer who had trained with him for 16 months. Answer: He ___
24,exp_free,The wedding planner criticized the florist who had brought dying flowers to the ceremony.,Sentence: The wedding planner criticized the florist who had brought dying flowers to the ceremony. Answer:
24,nonexp_free,The wedding planner criticized the florist who had been hired for the ceremony.,Sentence: The wedding planner criticized the florist who had been hired for the ceremony. Answer:
24,exp_pronoun,The wedding planner criticized the florist who had brought dying flowers to the ceremony.,Sentence: The wedding planner criticized the florist who had brought dying flowers to the ceremony. Answer: She ___
24,nonexp_pronoun,The wedding planner criticized the florist who had been hired for the ceremony.,Sentence: The wedding planner criticized the florist who had been hired for the ceremony. Answer: She ___
