item_id,condition,sentence,prompt
8,exp_pronoun,The child (m) fears the karate instructor (m) who acts like a drill sergeant.,Sentence: The child (m) fears the karate instructor (m) who acts like a drill sergeant. Answer: He ___
8,nonexp_pronoun,The child (m) fears the karate instructor (m) who recently joined the training studio.,Sentence: The child (m) fears the karate instructor (m) who recently joined the training studio. Answer: He ___
9,exp_pronoun,The company president (m) pacified the investor (m) who was complaining about the impending merger.,Sentence: The company president (m) pacified the investor (m) who was complaining about the impending merger. Answer: He ___
9,nonexp_pronoun,The company president (m) pacified the investor (m) who stopped by for an impromptu meeting.,Sentence: The company president (m) pacified the investor (m) who stopped by for an impromptu meeting. Answer: He ___
10,exp_pronoun,The doctor (f) reproached the patient (f) who never takes her medicine.,Sentence: The doctor (f) reproached the patient (f) who never takes her medicine. Answer: She ___
10,nonexp_pronoun,The doctor (f) reproached the patient (f) who came in at 3pm.,Sentence: The doctor (f) reproached the patient (f) who came in at 3pm. Answer: She ___
11,exp_pronoun,The editor (f) corrected the reporter (f) who had made an obvious error.,Sentence: The editor (f) corrected the reporter (f) who had made an obvious error. Answer: She ___
11,nonexp_pronoun,The editor (f) corrected the reporter (f) who had written that day's lead story.,Sentence: The editor (f) corrected the reporter (f) who had written that day's lead story. Answer: She ___
12,exp_pronoun,The employee (m) envied the manager (m) who had gotten a big raise.,Sentence: The employee (m) envied the manager (m) who had gotten a big raise. Answer: He ___
12,nonexp_pronoun,The employee (m) envied the manager (m) who worked in the next department over.,Sentence: The employee (m) envied the manager (m) who worked in the next department over. Answer: He ___
13,exp_pronoun,The landlord (m) valued the tenant (m) who always keeps the apartment clean.,Sentence: The landlord (m) valued the tenant (m) who always keeps the apartment clean. Answer: He ___
13,nonexp_pronoun,The landlord (m) valued the tenant (m) who moved in last February.,Sentence: The landlord (m) valued the tenant (m) who moved in last February. Answer: He ___
14,exp_pronoun,The musician (f) detests the record label representative (f) who always puts down her music.,Sentence: The musician (f) detests the record label representative (f) who always puts down her music. Answer: She ___
14,nonexp_pronoun,The musician (f) detests the record label representative (f) who flew into town this morning.,Sentence: The musician (f) detests the record label representative (f) who flew into town this morning. Answer: She ___
15,exp_pronoun,The nun (f) praised the parishioner (f) who had worked so hard to help the poor.,Sentence: The nun (f) praised the parishioner (f) who had worked so hard to help the poor. Answer: She ___
15,nonexp_pronoun,The nun (f) praised the parishioner (f) who was from San Diego county.,Sentence: The nun (f) praised the parishioner (f) who was from San Diego county. Answer: She ___
16,exp_pronoun,The onlooker (f) complimented the bride (f) who looked dazzling in her designer wedding dress.,Sentence: The onlooker (f) complimented the bride (f) who looked dazzling in her designer wedding dress. Answer: She ___
16,nonexp_pronoun,The onlooker (f) complimented the bride (f) who arrived at the restaurant.,Sentence: The onlooker (f) complimented the bride (f) who arrived at the restaurant. Answer: She ___
17,exp_pronoun,The politician (f) resented the journalist (f) who opened the interview by asking about her extramarital affair.,Sentence: The politician (f) resented the journalist (f) who opened the interview by asking about her extramarital affair. Answer: She ___
17,nonexp_pronoun,The politician (f) resented the journalist (f) who interviewed her yesterday.,Sentence: The politician (f) resented the journalist (f) who interviewed her yesterday. Answer: She ___
18,exp_pronoun,The professor (f) rewarded the student (f) who received a perfect score on the final.,Sentence: The professor (f) rewarded the student (f) who received a perfect score on the final. Answer: She ___
18,nonexp_pronoun,The professor (f) rewarded the student (f) who stopped by during office hours yesterday.,Sentence: The professor (f) rewarded the student (f) who stopped by during office hours yesterday. Answer: She ___
19,exp_pronoun,The restaurant owner (m) scolded the chef (m) who was routinely letting food go to waste.,Sentence: The restaurant owner (m) scolded the chef (m) who was routinely letting food go to waste. Answer: He ___
19,nonexp_pronoun,The restaurant owner (m) scolded the chef (m) who was hired last month.,Sentence: The restaurant owner (m) scolded the chef (m) who was hired last month. Answer: He ___
20,exp_pronoun,The scientist (f) hates the health and safety expert (f) who fines them after every inspection.,Sentence: The scientist (f) hates the health and safety expert (f) who fines them after every inspection. Answer: She ___
20,nonexp_pronoun,The scientist (f) hates the health and safety expert (f) who the company hired last month.,Sentence: The scientist (f) hates the health and safety expert (f) who the company hired last month. Answer: She ___
21,exp_pronoun,The secretary (f) adores the lawyer (f) who gives her a big raise each year.,Sentence: The secretary (f) adores the lawyer (f) who gives her a big raise each year. Answer: She ___
21,nonexp_pronoun,The secretary (f) adores the lawyer (f) who works in the office across from her desk.,Sentence: The secretary (f) adores the lawyer (f) who works in the office across from her desk. Answer: She ___
22,exp_pronoun,The teacher (m) blamed the second grader (m) who has a reputation for stealing things.,Sentence: The teacher (m) blamed the second grader (m) who has a reputation for stealing things. Answer: He ___
22,nonexp_pronoun,The teacher (m) blamed the second grader (m) who sits in the front of the class.,Sentence: The teacher (m) blamed the second grader (m) who sits in the front of the class. Answer: He ___
23,exp_pronoun,The trainer (m) consoled the boxer (m) who had lost the fight.,Sentence: The trainer (m) consoled the boxer (m) who had lost the fight. Answer: He ___
23,nonexp_pronoun,The trainer (m) consoled the boxer (m) who had trained with him for 16 months.,Sentence: The trainer (m) consoled the boxer (m) who had trained with him for 16 months. Answer: He ___
24,exp_pronoun,The wedding planner (f) criticized the florist (f) who had brought dying flowers to the ceremony.,Sentence: The wedding planner (f) criticized the florist (f) who had brought dying flowers to the ceremony. Answer: She ___
24,nonexp_pronoun,The wedding planner (f) criticized the florist (f) who had been hired for the ceremony.,Sentence: The wedding planner (f) criticized the florist (f) who had been hired for the ceremony. Answer: She ___
