sent_id,item_id,verb,sentence_type,verb_type,main_clause,target,question,prompt
11,6,comfort,IC,IC_High,Bob comforted the leader,Bob comforted the leader who was deeply disappointed by the court's decision.,"Does this sentence explain why Bob comforted the leader? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Bob comforted the leader who was deeply disappointed by the court's decision. Question: Does this sentence explain why Bob comforted the leader? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
12,6,greet,nonIC,nonIC_High,Bob greeted the leader,Bob greeted the leader who was deeply disappointed by the court's decision.,"Does this sentence explain why Bob greeted the leader? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Bob greeted the leader who was deeply disappointed by the court's decision. Question: Does this sentence explain why Bob greeted the leader? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
13,7,envy,IC,IC_High,Laura envies the manager,Laura envies the manager who has supposedly received a huge raise.,"Does this sentence explain why Laura envies the manager? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Laura envies the manager who has supposedly received a huge raise. Question: Does this sentence explain why Laura envies the manager? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
14,7,know,nonIC,nonIC_High,Laura knows the manager,Laura knows the manager who has supposedly received a huge raise.,"Does this sentence explain why Laura knows the manager? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Laura knows the manager who has supposedly received a huge raise. Question: Does this sentence explain why Laura knows the manager? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
15,8,value,IC,IC_High,Zack valued the daughter,Zack valued the daughter who was usually willing to spot him a few dollars.,"Does this sentence explain why Zack valued the daughter? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Zack valued the daughter who was usually willing to spot him a few dollars. Question: Does this sentence explain why Zack valued the daughter? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
16,8,recognize,nonIC,nonIC_High,Zack recognized the daughter,Zack recognized the daughter who was usually willing to spot him a few dollars.,"Does this sentence explain why Zack recognized the daughter? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Zack recognized the daughter who was usually willing to spot him a few dollars. Question: Does this sentence explain why Zack recognized the daughter? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
17,9,fear,IC,IC_High,Sarah fears the man,Sarah fears the man who is often heard yelling and screaming.,"Does this sentence explain why Sarah fears the man? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Sarah fears the man who is often heard yelling and screaming. Question: Does this sentence explain why Sarah fears the man? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
18,9,jog,nonIC,nonIC_High,Sarah jogs with the man,Sarah jogs with the man who is often heard yelling and screaming.,"Does this sentence explain why Sarah jogs with the man? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Sarah jogs with the man who is often heard yelling and screaming. Question: Does this sentence explain why Sarah jogs with the man? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
19,10,notice,IC,IC_High,Adam noticed the representative,Adam noticed the representative who was always wearing safety goggles.,"Does this sentence explain why Adam noticed the representative? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Adam noticed the representative who was always wearing safety goggles. Question: Does this sentence explain why Adam noticed the representative? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
20,10,resemble,nonIC,nonIC_High,Adam resembled the representative,Adam resembled the representative who was always wearing safety goggles.,"Does this sentence explain why Adam resembled the representative? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Adam resembled the representative who was always wearing safety goggles. Question: Does this sentence explain why Adam resembled the representative? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
21,11,praise,IC,IC_High,Tina praised the gardeners,Tina praised the gardeners who have recently installed a solar powered sprinkler.,"Does this sentence explain why Tina praised the gardeners? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Tina praised the gardeners who have recently installed a solar powered sprinkler. Question: Does this sentence explain why Tina praised the gardeners? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
22,11,meet,nonIC,nonIC_High,Tina met the gardeners,Tina met the gardeners who have recently installed a solar powered sprinkler.,"Does this sentence explain why Tina met the gardeners? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Tina met the gardeners who have recently installed a solar powered sprinkler. Question: Does this sentence explain why Tina met the gardeners? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
23,12,hate,IC,IC_High,Justin hates the cousins,Justin hates the cousins who are forever telling the same tasteless jokes.,"Does this sentence explain why Justin hates the cousins? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Justin hates the cousins who are forever telling the same tasteless jokes. Question: Does this sentence explain why Justin hates the cousins? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
24,12,carpool,nonIC,nonIC_High,Justin carpools with the cousins,Justin carpools with the cousins who are forever telling the same tasteless jokes.,"Does this sentence explain why Justin carpools with the cousins? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Justin carpools with the cousins who are forever telling the same tasteless jokes. Question: Does this sentence explain why Justin carpools with the cousins? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
25,13,blame,IC,IC_High,Emily blamed the nieces,Emily blamed the nieces who have repeatedly ruined expensive orchids.,"Does this sentence explain why Emily blamed the nieces? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Emily blamed the nieces who have repeatedly ruined expensive orchids. Question: Does this sentence explain why Emily blamed the nieces? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
26,13,wait,nonIC,nonIC_High,Emily waited with the nieces,Emily waited with the nieces who have repeatedly ruined expensive orchids.,"Does this sentence explain why Emily waited with the nieces? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Emily waited with the nieces who have repeatedly ruined expensive orchids. Question: Does this sentence explain why Emily waited with the nieces? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
27,14,help,IC,IC_High,Joe helped the boys,Joe helped the boys who are perpetually failing math class.,"Does this sentence explain why Joe helped the boys? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Joe helped the boys who are perpetually failing math class. Question: Does this sentence explain why Joe helped the boys? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
28,14,run,nonIC,nonIC_High,Joe ran into the boys,Joe ran into the boys who are perpetually failing math class.,"Does this sentence explain why Joe ran into the boys? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Joe ran into the boys who are perpetually failing math class. Question: Does this sentence explain why Joe ran into the boys? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
29,15,reproach,IC,IC_High,Jessica reproached the doctors,Jessica reproached the doctors who were adamantly in favor of plastic surgery.,"Does this sentence explain why Jessica reproached the doctors? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Jessica reproached the doctors who were adamantly in favor of plastic surgery. Question: Does this sentence explain why Jessica reproached the doctors? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
30,15,work,nonIC,nonIC_High,Jessica worked with the doctors,Jessica worked with the doctors who were adamantly in favor of plastic surgery.,"Does this sentence explain why Jessica worked with the doctors? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Jessica worked with the doctors who were adamantly in favor of plastic surgery. Question: Does this sentence explain why Jessica worked with the doctors? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
31,16,pacify,IC,IC_High,Brian pacified the associates,Brian pacified the associates who were nearly bankrupted by the new tax policy.,"Does this sentence explain why Brian pacified the associates? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Brian pacified the associates who were nearly bankrupted by the new tax policy. Question: Does this sentence explain why Brian pacified the associates? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
32,16,visit,nonIC,nonIC_High,Brian visited the associates,Brian visited the associates who were nearly bankrupted by the new tax policy.,"Does this sentence explain why Brian visited the associates? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Brian visited the associates who were nearly bankrupted by the new tax policy. Question: Does this sentence explain why Brian visited the associates? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
33,17,detest,IC,IC_High,Melissa detests the children,Melissa detests the children who are generally arrogant and rude.,"Does this sentence explain why Melissa detests the children? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Melissa detests the children who are generally arrogant and rude. Question: Does this sentence explain why Melissa detests the children? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
34,17,babysit,nonIC,nonIC_High,Melissa babysits the children,Melissa babysits the children who are generally arrogant and rude.,"Does this sentence explain why Melissa babysits the children? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Melissa babysits the children who are generally arrogant and rude. Question: Does this sentence explain why Melissa babysits the children? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
35,18,thank,IC,IC_High,Frank thanked the servants,Frank thanked the servants who are lately been helping the poor.,"Does this sentence explain why Frank thanked the servants? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Frank thanked the servants who are lately been helping the poor. Question: Does this sentence explain why Frank thanked the servants? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
36,18,talk,nonIC,nonIC_High,Frank talked to the servants,Frank talked to the servants who are lately been helping the poor.,"Does this sentence explain why Frank talked to the servants? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Frank talked to the servants who are lately been helping the poor. Question: Does this sentence explain why Frank talked to the servants? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
37,19,congratulate,IC,IC_High,Tracy congratulated the bodyguards,Tracy congratulated the bodyguards who were constantly fighting off the paparazzi.,"Does this sentence explain why Tracy congratulated the bodyguards? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Tracy congratulated the bodyguards who were constantly fighting off the paparazzi. Question: Does this sentence explain why Tracy congratulated the bodyguards? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
38,19,chat,nonIC,nonIC_High,Tracy chatted with the bodyguards,Tracy chatted with the bodyguards who were constantly fighting off the paparazzi.,"Does this sentence explain why Tracy chatted with the bodyguards? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Tracy chatted with the bodyguards who were constantly fighting off the paparazzi. Question: Does this sentence explain why Tracy chatted with the bodyguards? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
39,20,mock,IC,IC_High,Kevin mocked the fans,Kevin mocked the fans who were continually stagediving and getting hurt.,"Does this sentence explain why Kevin mocked the fans? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Kevin mocked the fans who were continually stagediving and getting hurt. Question: Does this sentence explain why Kevin mocked the fans? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
40,20,count,nonIC,nonIC_High,Kevin counted the fans,Kevin counted the fans who were continually stagediving and getting hurt.,"Does this sentence explain why Kevin counted the fans? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Kevin counted the fans who were continually stagediving and getting hurt. Question: Does this sentence explain why Kevin counted the fans? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
41,21,scold,IC,IC_High,Alice scolded the coordinator,Alice scolded the coordinator who was constantly making mistakes.,"Does this sentence explain why Alice scolded the coordinator? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Alice scolded the coordinator who was constantly making mistakes. Question: Does this sentence explain why Alice scolded the coordinator? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
42,21,joke,nonIC,nonIC_High,Alice joked with the coordinator,Alice joked with the coordinator who was constantly making mistakes.,"Does this sentence explain why Alice joked with the coordinator? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Alice joked with the coordinator who was constantly making mistakes. Question: Does this sentence explain why Alice joked with the coordinator? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
43,22,stare,IC,IC_High,Charles stared at the patron,Charles stared at the patron who was behaving in a strange way.,"Does this sentence explain why Charles stared at the patron? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Charles stared at the patron who was behaving in a strange way. Question: Does this sentence explain why Charles stared at the patron? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
44,22,study,nonIC,nonIC_High,Charles studied with the patron,Charles studied with the patron who was behaving in a strange way.,"Does this sentence explain why Charles studied with the patron? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Charles studied with the patron who was behaving in a strange way. Question: Does this sentence explain why Charles studied with the patron? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
45,23,assist,IC,IC_High,Ben assisted the coach,Ben assisted the coach who was overwhelmed with work.,"Does this sentence explain why Ben assisted the coach? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Ben assisted the coach who was overwhelmed with work. Question: Does this sentence explain why Ben assisted the coach? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
46,23,stand,nonIC,nonIC_High,Ben stood next to the coach,Ben stood next to the coach who was overwhelmed with work.,"Does this sentence explain why Ben stood next to the coach? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Ben stood next to the coach who was overwhelmed with work. Question: Does this sentence explain why Ben stood next to the coach? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
47,24,trust,IC,IC_High,Bob trusted the physician,Bob trusted the physician who was caring and considerate.,"Does this sentence explain why Bob trusted the physician? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Bob trusted the physician who was caring and considerate. Question: Does this sentence explain why Bob trusted the physician? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
48,24,live,nonIC,nonIC_High,Bob lived next to the physician,Bob lived next to the physician who was caring and considerate.,"Does this sentence explain why Bob lived next to the physician? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Bob lived next to the physician who was caring and considerate. Question: Does this sentence explain why Bob lived next to the physician? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
49,25,correct,IC,IC_High,Rachel corrected the agent,Rachel corrected the trainee who was misinterpreting her intention.,"Does this sentence explain why Rachel corrected the agent? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Rachel corrected the trainee who was misinterpreting her intention. Question: Does this sentence explain why Rachel corrected the agent? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
50,25,run,nonIC,nonIC_High,Rachel ran into the agent,Rachel ran into the trainee who was misinterpreting her intention. ,"Does this sentence explain why Rachel ran into the agent? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Rachel ran into the trainee who was misinterpreting her intention.  Question: Does this sentence explain why Rachel ran into the agent? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
51,26,thank,IC,IC_High,James thanked the analyst,James thanked the analyst who was willing to take on the extra work.,"Does this sentence explain why James thanked the analyst? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: James thanked the analyst who was willing to take on the extra work. Question: Does this sentence explain why James thanked the analyst? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
52,26,chat,nonIC,nonIC_High,James chatted with the analyst,James chatted with the analyst who was willing to take on the extra work.,"Does this sentence explain why James chatted with the analyst? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: James chatted with the analyst who was willing to take on the extra work. Question: Does this sentence explain why James chatted with the analyst? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
53,27,envy,IC,IC_High,Zoey envies the representative,Zoey envies the representative who is well-known by the locals.,"Does this sentence explain why Zoey envies the representative? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Zoey envies the representative who is well-known by the locals. Question: Does this sentence explain why Zoey envies the representative? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
54,27,resemble,nonIC,nonIC_High,Zoey resembles the representative,Zoey resembles the representative who is well-known by the locals.,"Does this sentence explain why Zoey resembles the representative? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Zoey resembles the representative who is well-known by the locals. Question: Does this sentence explain why Zoey resembles the representative? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
55,28,value,IC,IC_High,Stephen values the accountant,Stephen values the accountant who is diligent and hard-working.,"Does this sentence explain why Stephen values the accountant? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Stephen values the accountant who is diligent and hard-working. Question: Does this sentence explain why Stephen values the accountant? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
56,28,meet,nonIC,nonIC_High,Stephen met the accountant,Stephen met the accountant who is diligent and hard-working.,"Does this sentence explain why Stephen met the accountant? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Stephen met the accountant who is diligent and hard-working. Question: Does this sentence explain why Stephen met the accountant? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
57,29,fear,IC,IC_High,Liz fears the lawyer,Liz fears the lawyer who is stern and humorless.,"Does this sentence explain why Liz fears the lawyer? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Liz fears the lawyer who is stern and humorless. Question: Does this sentence explain why Liz fears the lawyer? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
58,29,recognize,nonIC,nonIC_High,Liz recognizes the lawyer,Liz recognizes the lawyer who is stern and humorless.,"Does this sentence explain why Liz recognizes the lawyer? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Liz recognizes the lawyer who is stern and humorless. Question: Does this sentence explain why Liz recognizes the lawyer? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
59,30,notice,IC,IC_High,Jan noticed the son,Jan noticed the son who was unusually quiet and soft-spoken.,"Does this sentence explain why Jan noticed the son? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Jan noticed the son who was unusually quiet and soft-spoken. Question: Does this sentence explain why Jan noticed the son? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
60,30,jog,nonIC,nonIC_High,Jan jogged with the son,Jan jogged with the son who was unusually quiet and soft-spoken.,"Does this sentence explain why Jan jogged with the son? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Jan jogged with the son who was unusually quiet and soft-spoken. Question: Does this sentence explain why Jan jogged with the son? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
61,31,praise,IC,IC_High,Luke praised the tenants,Luke praised the tenants who were always nice and friendly to others.,"Does this sentence explain why Luke praised the tenants? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Luke praised the tenants who were always nice and friendly to others. Question: Does this sentence explain why Luke praised the tenants? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
62,31,carpool,nonIC,nonIC_High,Luke carpooled with the tenants,Luke carpooled with the tenants who were always nice and friendly to others.,"Does this sentence explain why Luke carpooled with the tenants? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Luke carpooled with the tenants who were always nice and friendly to others. Question: Does this sentence explain why Luke carpooled with the tenants? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
63,32,hate,IC,IC_High,Karen hates the followers,Karen hates the followers who are pretentious and ego-centric.,"Does this sentence explain why Karen hates the followers? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Karen hates the followers who are pretentious and ego-centric. Question: Does this sentence explain why Karen hates the followers? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
64,32,know,nonIC,nonIC_High,Karen knows the followers,Karen knows the followers who are pretentious and ego-centric.,"Does this sentence explain why Karen knows the followers? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Karen knows the followers who are pretentious and ego-centric. Question: Does this sentence explain why Karen knows the followers? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
65,33,blame,IC,IC_High,Jack blamed the trainees,Jack blamed the trainees who were running late.,"Does this sentence explain why Jack blamed the trainees? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Jack blamed the trainees who were running late. Question: Does this sentence explain why Jack blamed the trainees? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
66,33,gossip,nonIC,nonIC_High,Jack gossiped with the trainees,Jack gossiped with the trainees who were running late.,"Does this sentence explain why Jack gossiped with the trainees? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Jack gossiped with the trainees who were running late. Question: Does this sentence explain why Jack gossiped with the trainees? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
67,34,help,IC,IC_High,Sophia helped the students,Sophia helped the students who were struggling with the class.,"Does this sentence explain why Sophia helped the students? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Sophia helped the students who were struggling with the class. Question: Does this sentence explain why Sophia helped the students? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
68,34,wait,nonIC,nonIC_High,Sophia waited with the students,Sophia waited with the students who were struggling with the class.,"Does this sentence explain why Sophia waited with the students? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Sophia waited with the students who were struggling with the class. Question: Does this sentence explain why Sophia waited with the students? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
69,35,reproach,IC,IC_High,Noah reproached the assistants,Noah reproached the assistants who were reluctant to take responsibility.,"Does this sentence explain why Noah reproached the assistants? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Noah reproached the assistants who were reluctant to take responsibility. Question: Does this sentence explain why Noah reproached the assistants? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
70,35,visit,nonIC,nonIC_High,Noah visited the assistants,Noah visited the assistants who were reluctant to take responsibility.,"Does this sentence explain why Noah visited the assistants? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Noah visited the assistants who were reluctant to take responsibility. Question: Does this sentence explain why Noah visited the assistants? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
71,36,pacify,IC,IC_High,Charlotte pacified the patients,Charlotte pacified the patients who were anxiously waiting for the treatments.,"Does this sentence explain why Charlotte pacified the patients? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Charlotte pacified the patients who were anxiously waiting for the treatments. Question: Does this sentence explain why Charlotte pacified the patients? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
72,36,greet,nonIC,nonIC_High,Charlotte greeted the patients,Charlotte greeted the patients who were anxiously waiting for the treatments.,"Does this sentence explain why Charlotte greeted the patients? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Charlotte greeted the patients who were anxiously waiting for the treatments. Question: Does this sentence explain why Charlotte greeted the patients? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
73,37,detest,IC,IC_High,Evelyn detests the supporters,Evelyn detests the supporters who have unrealistic requests.,"Does this sentence explain why Evelyn detests the supporters? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Evelyn detests the supporters who have unrealistic requests. Question: Does this sentence explain why Evelyn detests the supporters? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
74,37,work,nonIC,nonIC_High,Evelyn works with the supporters,Evelyn works with the supporters who have unrealistic requests.,"Does this sentence explain why Evelyn works with the supporters? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Evelyn works with the supporters who have unrealistic requests. Question: Does this sentence explain why Evelyn works with the supporters? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
75,38,comfort,IC,IC_High,Ken comforted the children,Ken comforted the children who were anxious about the test result.,"Does this sentence explain why Ken comforted the children? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Ken comforted the children who were anxious about the test result. Question: Does this sentence explain why Ken comforted the children? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
