sent_id,item_id,verb,sentence_type,continuation_type,main_sentence,sentence
22,6,greet,nonIC,exp,Bob greeted the leader who was deeply disappointed by the court's decision,"Bob greeted the leader who was deeply disappointed by the court's decision, because"
23,6,comfort,IC,nonexp,Bob comforted the leader who was deeply disappointed by the court's decision,"Bob comforted the leader who was deeply disappointed by the court's decision, and"
24,6,greet,nonIC,nonexp,Bob greeted the leader who was deeply disappointed by the court's decision,"Bob greeted the leader who was deeply disappointed by the court's decision, and"
25,7,envy,IC,exp,Laura envies the manager who has supposedly received a huge raise,"Laura envies the manager who has supposedly received a huge raise, because"
26,7,know,nonIC,exp,Laura knows the manager who has supposedly received a huge raise,"Laura knows the manager who has supposedly received a huge raise, because"
27,7,envy,IC,nonexp,Laura envies the manager who has supposedly received a huge raise,"Laura envies the manager who has supposedly received a huge raise, and"
28,7,know,nonIC,nonexp,Laura knows the manager who has supposedly received a huge raise,"Laura knows the manager who has supposedly received a huge raise, and"
29,8,value,IC,exp,Zack valued the daughter who was usually willing to spot him a few dollars,"Zack valued the daughter who was usually willing to spot him a few dollars, because"
30,8,recognize,nonIC,exp,Zack recognized the daughter who was usually willing to spot him a few dollars,"Zack recognized the daughter who was usually willing to spot him a few dollars, because"
31,8,value,IC,nonexp,Zack valued the daughter who was usually willing to spot him a few dollars,"Zack valued the daughter who was usually willing to spot him a few dollars, and"
32,8,recognize,nonIC,nonexp,Zack recognized the daughter who was usually willing to spot him a few dollars,"Zack recognized the daughter who was usually willing to spot him a few dollars, and"
33,9,fear,IC,exp,Sarah fears the man who is often heard yelling and screaming,"Sarah fears the man who is often heard yelling and screaming, because"
34,9,jog,nonIC,exp,Sarah jogs with the man who is often heard yelling and screaming,"Sarah jogs with the man who is often heard yelling and screaming, because"
35,9,fear,IC,nonexp,Sarah fears the man who is often heard yelling and screaming,"Sarah fears the man who is often heard yelling and screaming, and"
36,9,jog,nonIC,nonexp,Sarah jogs with the man who is often heard yelling and screaming,"Sarah jogs with the man who is often heard yelling and screaming, and"
37,10,notice,IC,exp,Adam noticed the representative who was always wearing safety goggles,"Adam noticed the representative who was always wearing safety goggles, because"
38,10,resemble,nonIC,exp,Adam resembled the representative who was always wearing safety goggles,"Adam resembled the representative who was always wearing safety goggles, because"
39,10,notice,IC,nonexp,Adam noticed the representative who was always wearing safety goggles,"Adam noticed the representative who was always wearing safety goggles, and"
40,10,resemble,nonIC,nonexp,Adam resembled the representative who was always wearing safety goggles,"Adam resembled the representative who was always wearing safety goggles, and"
41,11,praise,IC,exp,Tina praised the gardeners who have recently installed a solar powered sprinkler,"Tina praised the gardeners who have recently installed a solar powered sprinkler, because"
42,11,meet,nonIC,exp,Tina met the gardeners who have recently installed a solar powered sprinkler,"Tina met the gardeners who have recently installed a solar powered sprinkler, because"
43,11,praise,IC,nonexp,Tina praised the gardeners who have recently installed a solar powered sprinkler,"Tina praised the gardeners who have recently installed a solar powered sprinkler, and"
44,11,meet,nonIC,nonexp,Tina met the gardeners who have recently installed a solar powered sprinkler,"Tina met the gardeners who have recently installed a solar powered sprinkler, and"
45,12,hate,IC,exp,Justin hates the cousins who are forever telling the same tasteless jokes,"Justin hates the cousins who are forever telling the same tasteless jokes, because"
46,12,carpool,nonIC,exp,Justin carpools with the cousins who are forever telling the same tasteless jokes,"Justin carpools with the cousins who are forever telling the same tasteless jokes, because"
47,12,hate,IC,nonexp,Justin hates the cousins who are forever telling the same tasteless jokes,"Justin hates the cousins who are forever telling the same tasteless jokes, and"
48,12,carpool,nonIC,nonexp,Justin carpools with the cousins who are forever telling the same tasteless jokes,"Justin carpools with the cousins who are forever telling the same tasteless jokes, and"
49,13,blame,IC,exp,Emily blamed the nieces who have repeatedly ruined expensive orchids,"Emily blamed the nieces who have repeatedly ruined expensive orchids, because"
50,13,wait,nonIC,exp,Emily waited with the nieces who have repeatedly ruined expensive orchids,"Emily waited with the nieces who have repeatedly ruined expensive orchids, because"
51,13,blame,IC,nonexp,Emily blamed the nieces who have repeatedly ruined expensive orchids,"Emily blamed the nieces who have repeatedly ruined expensive orchids, and"
52,13,wait,nonIC,nonexp,Emily waited with the nieces who have repeatedly ruined expensive orchids,"Emily waited with the nieces who have repeatedly ruined expensive orchids, and"
53,14,help,IC,exp,Joe helped the boys who are perpetually failing math class,"Joe helped the boys who are perpetually failing math class, because"
54,14,run,nonIC,exp,Joe ran into the boys who are perpetually failing math class,"Joe ran into the boys who are perpetually failing math class, because"
55,14,help,IC,nonexp,Joe helped the boys who are perpetually failing math class,"Joe helped the boys who are perpetually failing math class, and"
56,14,run,nonIC,nonexp,Joe ran into the boys who are perpetually failing math class,"Joe ran into the boys who are perpetually failing math class, and"
57,15,reproach,IC,exp,Jessica reproached the doctors who were adamantly in favor of plastic surgery,"Jessica reproached the doctors who were adamantly in favor of plastic surgery, because"
58,15,work,nonIC,exp,Jessica worked with the doctors who were adamantly in favor of plastic surgery,"Jessica worked with the doctors who were adamantly in favor of plastic surgery, because"
59,15,reproach,IC,nonexp,Jessica reproached the doctors who were adamantly in favor of plastic surgery,"Jessica reproached the doctors who were adamantly in favor of plastic surgery, and"
60,15,work,nonIC,nonexp,Jessica worked with the doctors who were adamantly in favor of plastic surgery,"Jessica worked with the doctors who were adamantly in favor of plastic surgery, and"
61,16,pacify,IC,exp,Brian pacified the associates who were nearly bankrupted by the new tax policy,"Brian pacified the associates who were nearly bankrupted by the new tax policy, because"
62,16,visit,nonIC,exp,Brian visited the associates who were nearly bankrupted by the new tax policy,"Brian visited the associates who were nearly bankrupted by the new tax policy, because"
63,16,pacify,IC,nonexp,Brian pacified the associates who were nearly bankrupted by the new tax policy,"Brian pacified the associates who were nearly bankrupted by the new tax policy, and"
64,16,visit,nonIC,nonexp,Brian visited the associates who were nearly bankrupted by the new tax policy,"Brian visited the associates who were nearly bankrupted by the new tax policy, and"
65,17,detest,IC,exp,Melissa detests the children who are generally arrogant and rude,"Melissa detests the children who are generally arrogant and rude, because"
66,17,babysit,nonIC,exp,Melissa babysits the children who are generally arrogant and rude,"Melissa babysits the children who are generally arrogant and rude, because"
67,17,detest,IC,nonexp,Melissa detests the children who are generally arrogant and rude,"Melissa detests the children who are generally arrogant and rude, and"
68,17,babysit,nonIC,nonexp,Melissa babysits the children who are generally arrogant and rude,"Melissa babysits the children who are generally arrogant and rude, and"
69,18,thank,IC,exp,Frank thanked the servants who are lately been helping the poor,"Frank thanked the servants who are lately been helping the poor, because"
70,18,talk,nonIC,exp,Frank talked to the servants who are lately been helping the poor,"Frank talked to the servants who are lately been helping the poor, because"
71,18,thank,IC,nonexp,Frank thanked the servants who are lately been helping the poor,"Frank thanked the servants who are lately been helping the poor, and"
72,18,talk,nonIC,nonexp,Frank talked to the servants who are lately been helping the poor,"Frank talked to the servants who are lately been helping the poor, and"
73,19,congratulate,IC,exp,Tracy congratulated the bodyguards who were constantly fighting off the paparazzi,"Tracy congratulated the bodyguards who were constantly fighting off the paparazzi, because"
74,19,chat,nonIC,exp,Tracy chatted with the bodyguards who were constantly fighting off the paparazzi,"Tracy chatted with the bodyguards who were constantly fighting off the paparazzi, because"
75,19,congratulate,IC,nonexp,Tracy congratulated the bodyguards who were constantly fighting off the paparazzi,"Tracy congratulated the bodyguards who were constantly fighting off the paparazzi, and"
76,19,chat,nonIC,nonexp,Tracy chatted with the bodyguards who were constantly fighting off the paparazzi,"Tracy chatted with the bodyguards who were constantly fighting off the paparazzi, and"
77,20,mock,IC,exp,Kevin mocked the fans who were continually stagediving and getting hurt,"Kevin mocked the fans who were continually stagediving and getting hurt, because"
78,20,count,nonIC,exp,Kevin counted the fans who were continually stagediving and getting hurt,"Kevin counted the fans who were continually stagediving and getting hurt, because"
79,20,mock,IC,nonexp,Kevin mocked the fans who were continually stagediving and getting hurt,"Kevin mocked the fans who were continually stagediving and getting hurt, and"
80,20,count,nonIC,nonexp,Kevin counted the fans who were continually stagediving and getting hurt,"Kevin counted the fans who were continually stagediving and getting hurt, and"
81,21,scold,IC,exp,Alice scolded the coordinator who was constantly making mistakes,"Alice scolded the coordinator who was constantly making mistakes, because"
82,21,joke,nonIC,exp,Alice joked with the coordinator who was constantly making mistakes,"Alice joked with the coordinator who was constantly making mistakes, because"
83,21,scold,IC,nonexp,Alice scolded the coordinator who was constantly making mistakes,"Alice scolded the coordinator who was constantly making mistakes, and"
84,21,joke,nonIC,nonexp,Alice joked with the coordinator who was constantly making mistakes,"Alice joked with the coordinator who was constantly making mistakes, and"
85,22,stare,IC,exp,Charles stared at the patron who was behaving in a strange way,"Charles stared at the patron who was behaving in a strange way, because"
86,22,study,nonIC,exp,Charles studied with the patron who was behaving in a strange way,"Charles studied with the patron who was behaving in a strange way, because"
87,22,stare,IC,nonexp,Charles stared at the patron who was behaving in a strange way,"Charles stared at the patron who was behaving in a strange way, and"
88,22,study,nonIC,nonexp,Charles studied with the patron who was behaving in a strange way,"Charles studied with the patron who was behaving in a strange way, and"
89,23,assist,IC,exp,Ben assisted the coach who was overwhelmed with work,"Ben assisted the coach who was overwhelmed with work, because"
90,23,stand,nonIC,exp,Ben stood next to the coach who was overwhelmed with work,"Ben stood next to the coach who was overwhelmed with work, because"
91,23,assist,IC,nonexp,Ben assisted the coach who was overwhelmed with work,"Ben assisted the coach who was overwhelmed with work, and"
92,23,stand,nonIC,nonexp,Ben stood next to the coach who was overwhelmed with work,"Ben stood next to the coach who was overwhelmed with work, and"
93,24,trust,IC,exp,Bob trusted the physician who was caring and considerate,"Bob trusted the physician who was caring and considerate, because"
94,24,live,nonIC,exp,Bob lived next to the physician who was caring and considerate,"Bob lived next to the physician who was caring and considerate, because"
95,24,trust,IC,nonexp,Bob trusted the physician who was caring and considerate,"Bob trusted the physician who was caring and considerate, and"
96,24,live,nonIC,nonexp,Bob lived next to the physician who was caring and considerate,"Bob lived next to the physician who was caring and considerate, and"
97,25,correct,IC,exp,Rachel corrected the trainee who was misinterpreting her intention,"Rachel corrected the trainee who was misinterpreting her intention, because"
98,25,run,nonIC,exp,Rachel ran into the trainee who was misinterpreting her intention ,"Rachel ran into the trainee who was misinterpreting her intention , because"
99,25,correct,IC,nonexp,Rachel corrected the trainee who was misinterpreting her intention,"Rachel corrected the trainee who was misinterpreting her intention, and"
100,25,run,nonIC,nonexp,Rachel ran into the trainee who was misinterpreting her intention ,"Rachel ran into the trainee who was misinterpreting her intention , and"
101,26,thank,IC,exp,James thanked the analyst who was willing to take on the extra work,"James thanked the analyst who was willing to take on the extra work, because"
102,26,chat,nonIC,exp,James chatted with the analyst who was willing to take on the extra work,"James chatted with the analyst who was willing to take on the extra work, because"
103,26,thank,IC,nonexp,James thanked the analyst who was willing to take on the extra work,"James thanked the analyst who was willing to take on the extra work, and"
104,26,chat,nonIC,nonexp,James chatted with the analyst who was willing to take on the extra work,"James chatted with the analyst who was willing to take on the extra work, and"
105,27,envy,IC,exp,Zoey envies the representative who is well-known by the locals,"Zoey envies the representative who is well-known by the locals, because"
106,27,resemble,nonIC,exp,Zoey resembles the representative who is well-known by the locals,"Zoey resembles the representative who is well-known by the locals, because"
107,27,envy,IC,nonexp,Zoey envies the representative who is well-known by the locals,"Zoey envies the representative who is well-known by the locals, and"
108,27,resemble,nonIC,nonexp,Zoey resembles the representative who is well-known by the locals,"Zoey resembles the representative who is well-known by the locals, and"
109,28,value,IC,exp,Stephen values the accountant who is diligent and hard-working,"Stephen values the accountant who is diligent and hard-working, because"
110,28,meet,nonIC,exp,Stephen met the accountant who is diligent and hard-working,"Stephen met the accountant who is diligent and hard-working, because"
111,28,value,IC,nonexp,Stephen values the accountant who is diligent and hard-working,"Stephen values the accountant who is diligent and hard-working, and"
112,28,meet,nonIC,nonexp,Stephen met the accountant who is diligent and hard-working,"Stephen met the accountant who is diligent and hard-working, and"
113,29,fear,IC,exp,Liz fears the lawyer who is stern and humorless,"Liz fears the lawyer who is stern and humorless, because"
114,29,recognize,nonIC,exp,Liz recognizes the lawyer who is stern and humorless,"Liz recognizes the lawyer who is stern and humorless, because"
115,29,fear,IC,nonexp,Liz fears the lawyer who is stern and humorless,"Liz fears the lawyer who is stern and humorless, and"
116,29,recognize,nonIC,nonexp,Liz recognizes the lawyer who is stern and humorless,"Liz recognizes the lawyer who is stern and humorless, and"
117,30,notice,IC,exp,Jan noticed the son who was unusually quiet and soft-spoken,"Jan noticed the son who was unusually quiet and soft-spoken, because"
118,30,jog,nonIC,exp,Jan jogged with the son who was unusually quiet and soft-spoken,"Jan jogged with the son who was unusually quiet and soft-spoken, because"
119,30,notice,IC,nonexp,Jan noticed the son who was unusually quiet and soft-spoken,"Jan noticed the son who was unusually quiet and soft-spoken, and"
120,30,jog,nonIC,nonexp,Jan jogged with the son who was unusually quiet and soft-spoken,"Jan jogged with the son who was unusually quiet and soft-spoken, and"
121,31,praise,IC,exp,Luke praised the tenants who were always nice and friendly to others,"Luke praised the tenants who were always nice and friendly to others, because"
122,31,carpool,nonIC,exp,Luke carpooled with the tenants who were always nice and friendly to others,"Luke carpooled with the tenants who were always nice and friendly to others, because"
123,31,praise,IC,nonexp,Luke praised the tenants who were always nice and friendly to others,"Luke praised the tenants who were always nice and friendly to others, and"
124,31,carpool,nonIC,nonexp,Luke carpooled with the tenants who were always nice and friendly to others,"Luke carpooled with the tenants who were always nice and friendly to others, and"
125,32,hate,IC,exp,Karen hates the followers who are pretentious and ego-centric,"Karen hates the followers who are pretentious and ego-centric, because"
126,32,know,nonIC,exp,Karen knows the followers who are pretentious and ego-centric,"Karen knows the followers who are pretentious and ego-centric, because"
127,32,hate,IC,nonexp,Karen hates the followers who are pretentious and ego-centric,"Karen hates the followers who are pretentious and ego-centric, and"
128,32,know,nonIC,nonexp,Karen knows the followers who are pretentious and ego-centric,"Karen knows the followers who are pretentious and ego-centric, and"
129,33,blame,IC,exp,Jack blamed the trainees who were running late,"Jack blamed the trainees who were running late, because"
130,33,gossip,nonIC,exp,Jack gossiped with the trainees who were running late,"Jack gossiped with the trainees who were running late, because"
131,33,blame,IC,nonexp,Jack blamed the trainees who were running late,"Jack blamed the trainees who were running late, and"
132,33,gossip,nonIC,nonexp,Jack gossiped with the trainees who were running late,"Jack gossiped with the trainees who were running late, and"
133,34,help,IC,exp,Sophia helped the students who were struggling with the class,"Sophia helped the students who were struggling with the class, because"
134,34,wait,nonIC,exp,Sophia waited with the students who were struggling with the class,"Sophia waited with the students who were struggling with the class, because"
135,34,help,IC,nonexp,Sophia helped the students who were struggling with the class,"Sophia helped the students who were struggling with the class, and"
136,34,wait,nonIC,nonexp,Sophia waited with the students who were struggling with the class,"Sophia waited with the students who were struggling with the class, and"
137,35,reproach,IC,exp,Noah reproached the assistants who were reluctant to take responsibility,"Noah reproached the assistants who were reluctant to take responsibility, because"
138,35,visit,nonIC,exp,Noah visited the assistants who were reluctant to take responsibility,"Noah visited the assistants who were reluctant to take responsibility, because"
139,35,reproach,IC,nonexp,Noah reproached the assistants who were reluctant to take responsibility,"Noah reproached the assistants who were reluctant to take responsibility, and"
140,35,visit,nonIC,nonexp,Noah visited the assistants who were reluctant to take responsibility,"Noah visited the assistants who were reluctant to take responsibility, and"
141,36,pacify,IC,exp,Charlotte pacified the patients who were anxiously waiting for the treatments,"Charlotte pacified the patients who were anxiously waiting for the treatments, because"
142,36,greet,nonIC,exp,Charlotte greeted the patients who were anxiously waiting for the treatments,"Charlotte greeted the patients who were anxiously waiting for the treatments, because"
143,36,pacify,IC,nonexp,Charlotte pacified the patients who were anxiously waiting for the treatments,"Charlotte pacified the patients who were anxiously waiting for the treatments, and"
144,36,greet,nonIC,nonexp,Charlotte greeted the patients who were anxiously waiting for the treatments,"Charlotte greeted the patients who were anxiously waiting for the treatments, and"
145,37,detest,IC,exp,Evelyn detests the supporters who have unrealistic requests,"Evelyn detests the supporters who have unrealistic requests, because"
146,37,work,nonIC,exp,Evelyn works with the supporters who have unrealistic requests,"Evelyn works with the supporters who have unrealistic requests, because"
147,37,detest,IC,nonexp,Evelyn detests the supporters who have unrealistic requests,"Evelyn detests the supporters who have unrealistic requests, and"
148,37,work,nonIC,nonexp,Evelyn works with the supporters who have unrealistic requests,"Evelyn works with the supporters who have unrealistic requests, and"
149,38,comfort,IC,exp,Ken comforted the children who were anxious about the test result,"Ken comforted the children who were anxious about the test result, because"
150,38,babysit,nonIC,exp,Ken babysat the children who were anxious about the test result,"Ken babysat the children who were anxious about the test result, because"
151,38,comfort,IC,nonexp,Ken comforted the children who were anxious about the test result,"Ken comforted the children who were anxious about the test result, and"
152,38,babysit,nonIC,nonexp,Ken babysat the children who were anxious about the test result,"Ken babysat the children who were anxious about the test result, and"
153,39,congratulate,IC,exp,Henry congratulated the architects who were winning the best design award,"Henry congratulated the architects who were winning the best design award, because"
154,39,count,nonIC,exp,Henry counted the architects who were winning the best design award,"Henry counted the architects who were winning the best design award, because"
155,39,congratulate,IC,nonexp,Henry congratulated the architects who were winning the best design award,"Henry congratulated the architects who were winning the best design award, and"
156,39,count,nonIC,nonexp,Henry counted the architects who were winning the best design award,"Henry counted the architects who were winning the best design award, and"
157,40,mock,IC,exp,Olivia mocked the apprentices who were reckless in making decisions,"Olivia mocked the apprentices who were reckless in making decisions, because"
158,40,talk,nonIC,exp,Olivia talked to the apprentices who were reckless in making decisions,"Olivia talked to the apprentices who were reckless in making decisions, because"
159,40,mock,IC,nonexp,Olivia mocked the apprentices who were reckless in making decisions,"Olivia mocked the apprentices who were reckless in making decisions, and"
160,40,talk,nonIC,nonexp,Olivia talked to the apprentices who were reckless in making decisions,"Olivia talked to the apprentices who were reckless in making decisions, and"
161,41,scold,IC,exp,Ashley scolded the children who were nonchalant about other people's needs,"Ashley scolded the children who were nonchalant about other people's needs, because"
162,41,babysit,nonIC,exp,Ashley studied with the children who were nonchalant about other people's needs,"Ashley studied with the children who were nonchalant about other people's needs, because"
163,41,scold,IC,nonexp,Ashley scolded the children who were nonchalant about other people's needs,"Ashley scolded the children who were nonchalant about other people's needs, and"
164,41,babysit,nonIC,nonexp,Ashley studied with the children who were nonchalant about other people's needs,"Ashley studied with the children who were nonchalant about other people's needs, and"
165,42,stare,IC,exp,Daniel stared at the clients who were always unsatisfied with the product,"Daniel stared at the clients who were always unsatisfied with the product, because"
166,42,count,nonIC,exp,Daniel counted the clients who were always unsatisfied with the product,"Daniel counted the clients who were always unsatisfied with the product, because"
167,42,stare,IC,nonexp,Daniel stared at the clients who were always unsatisfied with the product,"Daniel stared at the clients who were always unsatisfied with the product, and"
168,42,count,nonIC,nonexp,Daniel counted the clients who were always unsatisfied with the product,"Daniel counted the clients who were always unsatisfied with the product, and"
169,43,assist,IC,exp,Megan assisted the photographers who were busy getting ready,"Megan assisted the photographers who were busy getting ready, because"
170,43,joke,nonIC,exp,Megan joked with the photographers who were busy getting ready,"Megan joked with the photographers who were busy getting ready, because"
171,43,assist,IC,nonexp,Megan assisted the photographers who were busy getting ready,"Megan assisted the photographers who were busy getting ready, and"
172,43,joke,nonIC,nonexp,Megan joked with the photographers who were busy getting ready,"Megan joked with the photographers who were busy getting ready, and"
173,44,trust,IC,exp,Lucas trusted the professors who were knowledgeable,"Lucas trusted the professors who were knowledgeable, because"
174,44,wait,nonIC,exp,Lucas waited with the professors who were knowledgeable,"Lucas waited with the professors who were knowledgeable, because"
175,44,trust,IC,nonexp,Lucas trusted the professors who were knowledgeable,"Lucas trusted the professors who were knowledgeable, and"
176,44,wait,nonIC,nonexp,Lucas waited with the professors who were knowledgeable,"Lucas waited with the professors who were knowledgeable, and"
177,45,correct,IC,exp,Michelle corrected the advisers who were constantly mispronouncing her name,"Michelle corrected the advisers who were constantly mispronouncing her name, because"
178,45,stand,nonIC,exp,Michelle stood near the advisers who were constantly mispronouncing her name,"Michelle stood near the advisers who were constantly mispronouncing her name, because"
179,45,correct,IC,nonexp,Michelle corrected the advisers who were constantly mispronouncing her name,"Michelle corrected the advisers who were constantly mispronouncing her name, and"
180,45,stand,nonIC,nonexp,Michelle stood near the advisers who were constantly mispronouncing her name,"Michelle stood near the advisers who were constantly mispronouncing her name, and"
181,46,comfort,IC,exp,Oliver comforted the advisees who were worried about starting a new project,"Oliver comforted the advisees who were worried about starting a new project, because"
182,46,gossip,nonIC,exp,Oliver gossiped with the advisees who were worried about starting a new project,"Oliver gossiped with the advisees who were worried about starting a new project, because"
183,46,comfort,IC,nonexp,Oliver comforted the advisees who were worried about starting a new project,"Oliver comforted the advisees who were worried about starting a new project, and"
184,46,gossip,nonIC,nonexp,Oliver gossiped with the advisees who were worried about starting a new project,"Oliver gossiped with the advisees who were worried about starting a new project, and"
185,47,envy,IC,exp,Rebecca envies the researchers who have made a lot of money,"Rebecca envies the researchers who have made a lot of money, because"
186,47,recognize,nonIC,exp,Rebecca recognizes the researchers who have made a lot of money,"Rebecca recognizes the researchers who have made a lot of money, because"
187,47,envy,IC,nonexp,Rebecca envies the researchers who have made a lot of money,"Rebecca envies the researchers who have made a lot of money, and"
188,47,recognize,nonIC,nonexp,Rebecca recognizes the researchers who have made a lot of money,"Rebecca recognizes the researchers who have made a lot of money, and"
189,48,value,IC,exp,Sebastian values the caretakers who are taking care of everyone,"Sebastian values the caretakers who are taking care of everyone, because"
190,48,jog,nonIC,exp,Sebastian jogs with the caretakers who are taking care of everyone,"Sebastian jogs with the caretakers who are taking care of everyone, because"
191,48,value,IC,nonexp,Sebastian values the caretakers who are taking care of everyone,"Sebastian values the caretakers who are taking care of everyone, and"
192,48,jog,nonIC,nonexp,Sebastian jogs with the caretakers who are taking care of everyone,"Sebastian jogs with the caretakers who are taking care of everyone, and"
193,49,fear,IC,exp,Emma fears the colleagues who have unpredictable behavior,"Emma fears the colleagues who have unpredictable behavior, because"
194,49,know,nonIC,exp,Emma knows the colleagues who have unpredictable behavior,"Emma knows the colleagues who have unpredictable behavior, because"
195,49,fear,IC,nonexp,Emma fears the colleagues who have unpredictable behavior,"Emma fears the colleagues who have unpredictable behavior, and"
196,49,know,nonIC,nonexp,Emma knows the colleagues who have unpredictable behavior,"Emma knows the colleagues who have unpredictable behavior, and"
197,50,notice,IC,exp,Ryan noticed the consultants who were abnormally busy at work,"Ryan noticed the consultants who were abnormally busy at work, because"
198,50,meet,nonIC,exp,Ryan met the consultants who were abnormally busy at work,"Ryan met the consultants who were abnormally busy at work, because"
199,50,notice,IC,nonexp,Ryan noticed the consultants who were abnormally busy at work,"Ryan noticed the consultants who were abnormally busy at work, and"
200,50,meet,nonIC,nonexp,Ryan met the consultants who were abnormally busy at work,"Ryan met the consultants who were abnormally busy at work, and"
201,51,praise,IC,exp,Amy praised the guardian who was diligent in keeping everything on track,"Amy praised the guardian who was diligent in keeping everything on track, because"
202,51,talk,nonIC,exp,Amy talked to the guardian who was diligent in keeping everything on track,"Amy talked to the guardian who was diligent in keeping everything on track, because"
203,51,praise,IC,nonexp,Amy praised the guardian who was diligent in keeping everything on track,"Amy praised the guardian who was diligent in keeping everything on track, and"
204,51,talk,nonIC,nonexp,Amy talked to the guardian who was diligent in keeping everything on track,"Amy talked to the guardian who was diligent in keeping everything on track, and"
205,52,hate,IC,exp,Jonathon hates the supervisor who is always shouting at others,"Jonathon hates the supervisor who is always shouting at others, because"
206,52,live,nonIC,exp,Jonathon lives next to the supervisor who is always shouting at others,"Jonathon lives next to the supervisor who is always shouting at others, because"
207,52,hate,IC,nonexp,Jonathon hates the supervisor who is always shouting at others,"Jonathon hates the supervisor who is always shouting at others, and"
208,52,live,nonIC,nonexp,Jonathon lives next to the supervisor who is always shouting at others,"Jonathon lives next to the supervisor who is always shouting at others, and"
209,53,blame,IC,exp,Natalie blamed the principal who was late to the meeting,"Natalie blamed the principal who was late to the meeting, because"
210,53,resemble,nonIC,exp,Natalie resembled the principal who was late to the meeting,"Natalie resembled the principal who was late to the meeting, because"
211,53,blame,IC,nonexp,Natalie blamed the principal who was late to the meeting,"Natalie blamed the principal who was late to the meeting, and"
212,53,resemble,nonIC,nonexp,Natalie resembled the principal who was late to the meeting,"Natalie resembled the principal who was late to the meeting, and"
213,54,help,IC,exp,Alex helped the counselor who was looking for information,"Alex helped the counselor who was looking for information, because"
214,54,greet,nonIC,exp,Alex greeted the counselor who was looking for information,"Alex greeted the counselor who was looking for information, because"
215,54,help,IC,nonexp,Alex helped the counselor who was looking for information,"Alex helped the counselor who was looking for information, and"
216,54,greet,nonIC,nonexp,Alex greeted the counselor who was looking for information,"Alex greeted the counselor who was looking for information, and"
217,55,reproach,IC,exp,Tiffany reproached the intern who was negligent and sluggish,"Tiffany reproached the intern who was negligent and sluggish, because"
218,55,study,nonIC,exp,Tiffany studied with the intern who was negligent and sluggish,"Tiffany studied with the intern who was negligent and sluggish, because"
219,55,reproach,IC,nonexp,Tiffany reproached the intern who was negligent and sluggish,"Tiffany reproached the intern who was negligent and sluggish, and"
220,55,study,nonIC,nonexp,Tiffany studied with the intern who was negligent and sluggish,"Tiffany studied with the intern who was negligent and sluggish, and"
221,56,pacify,IC,exp,Samuel pacified the neighbor who was irritated by the noise,"Samuel pacified the neighbor who was irritated by the noise, because"
